time	R	I
0.0	1074.94	9.7e-05
0.01	1074.96	9.7e-05
0.02	1074.93	9.7e-05
0.03	1074.94	9.7e-05
0.04	1074.94	9.7e-05
0.05	1074.95	9.7e-05
0.06	1074.94	9.7e-05
0.07	1074.95	9.7e-05
0.08	1074.95	9.7e-05
0.09	1074.95	9.7e-05
0.1	1074.95	9.7e-05
0.11	1074.94	9.7e-05
0.12	1074.95	9.7e-05
0.13	1074.96	9.7e-05
0.14	1074.94	9.7e-05
0.15	1074.94	9.7e-05
0.16	1074.94	9.7e-05
0.17	1074.94	9.7e-05
0.18	1074.94	9.7e-05
0.19	1074.94	9.7e-05
0.2	1074.97	9.7e-05
0.21	1074.95	9.7e-05
0.22	1074.95	9.7e-05
0.23	1074.97	9.7e-05
0.24	1074.96	9.7e-05
0.25	1074.95	9.7e-05
0.26	1074.97	9.7e-05
0.27	1074.97	9.7e-05
0.28	1074.97	9.7e-05
0.29	1074.97	9.7e-05
0.3	1074.98	9.7e-05
0.31	1074.95	9.7e-05
0.32	1074.96	9.7e-05
0.33	1074.96	9.7e-05
0.34	1074.96	9.7e-05
0.35	1074.96	9.7e-05
0.36	1074.95	9.7e-05
0.37	1074.95	9.7e-05
0.38	1074.97	9.7e-05
0.39	1074.98	9.7e-05
0.4	1074.94	9.7e-05
0.41	1074.97	9.7e-05
0.42	1074.95	9.7e-05
0.43	1074.95	9.7e-05
0.44	1074.96	9.7e-05
0.45	1074.96	9.7e-05
0.46	1074.95	9.7e-05
0.47	1074.97	9.7e-05
0.48	1074.96	9.7e-05
0.49	1074.95	9.7e-05
0.5	1074.94	9.7e-05
0.51	1074.97	9.7e-05
0.52	1074.95	9.7e-05
0.53	1074.95	9.7e-05
0.54	1074.95	9.7e-05
0.55	1074.93	9.7e-05
0.56	1074.97	9.7e-05
0.57	1074.94	9.7e-05
0.58	1074.96	9.7e-05
0.59	1074.94	9.7e-05
0.6	1074.92	9.7e-05
0.61	1074.95	9.7e-05
0.62	1074.93	9.7e-05
0.63	1074.95	9.7e-05
0.64	1074.94	9.7e-05
0.65	1074.93	9.7e-05
0.66	1074.98	9.7e-05
0.67	1074.94	9.7e-05
0.68	1074.96	9.7e-05
0.69	1074.97	9.7e-05
0.7	1074.97	9.7e-05
0.71	1074.95	9.7e-05
0.72	1074.96	9.7e-05
0.73	1074.97	9.7e-05
0.74	1074.95	9.7e-05
0.75	1074.96	9.7e-05
0.76	1074.96	9.7e-05
0.77	1074.96	9.7e-05
0.78	1074.95	9.7e-05
0.79	1074.95	9.7e-05
0.8	1074.95	9.7e-05
0.81	1074.96	9.7e-05
0.82	1074.96	9.7e-05
0.83	1074.98	9.7e-05
0.84	1074.98	9.7e-05
0.85	1074.95	9.7e-05
0.86	1074.98	9.7e-05
0.87	1074.99	9.7e-05
0.88	1074.96	9.7e-05
0.89	1074.99	9.7e-05
0.9	1074.94	9.7e-05
0.91	1074.95	9.7e-05
0.92	1074.98	9.7e-05
0.93	1074.99	9.7e-05
0.94	1074.98	9.7e-05
0.95	1074.95	9.7e-05
0.96	1074.94	9.7e-05
0.97	1074.97	9.7e-05
0.98	1074.94	9.7e-05
0.99	1074.96	9.7e-05
