N	R	I
0	1046.01	9.7e-05
1	1046.03	9.7e-05
2	1046.03	9.7e-05
3	1046.05	9.7e-05
4	1046.04	9.7e-05
5	1046.03	9.7e-05
6	1046.05	9.7e-05
7	1046.05	9.7e-05
8	1046.06	9.7e-05
9	1046.04	9.7e-05
10	1046.02	9.7e-05
11	1046.03	9.7e-05
12	1046.07	9.7e-05
13	1046.04	9.7e-05
14	1046.07	9.7e-05
15	1046.07	9.7e-05
16	1046.06	9.7e-05
17	1046.06	9.7e-05
18	1046.06	9.7e-05
19	1046.04	9.7e-05
20	1046.03	9.7e-05
21	1046.04	9.7e-05
22	1046.05	9.7e-05
23	1046.05	9.7e-05
24	1046.06	9.7e-05
25	1046.05	9.7e-05
26	1046.06	9.7e-05
27	1046.03	9.7e-05
28	1046.06	9.7e-05
29	1046.06	9.7e-05
30	1046.07	9.7e-05
31	1046.06	9.7e-05
32	1046.08	9.7e-05
33	1046.04	9.7e-05
34	1046.06	9.7e-05
35	1046.07	9.7e-05
36	1046.08	9.7e-05
37	1046.08	9.7e-05
38	1046.08	9.7e-05
39	1046.08	9.7e-05
40	1046.08	9.7e-05
41	1046.07	9.7e-05
42	1046.07	9.7e-05
43	1046.07	9.7e-05
44	1046.08	9.7e-05
45	1046.06	9.7e-05
46	1046.08	9.7e-05
47	1046.08	9.7e-05
48	1046.07	9.7e-05
49	1046.08	9.7e-05
50	1046.07	9.7e-05
51	1046.08	9.7e-05
52	1046.07	9.7e-05
53	1046.08	9.7e-05
54	1046.06	9.7e-05
55	1046.07	9.7e-05
56	1046.06	9.7e-05
57	1046.07	9.7e-05
58	1046.08	9.7e-05
59	1046.08	9.7e-05
60	1046.07	9.7e-05
61	1046.09	9.7e-05
62	1046.09	9.7e-05
63	1046.09	9.7e-05
64	1046.08	9.7e-05
65	1046.08	9.7e-05
66	1046.09	9.7e-05
67	1046.11	9.7e-05
68	1046.09	9.7e-05
69	1046.09	9.7e-05
70	1046.1	9.7e-05
71	1046.11	9.7e-05
72	1046.07	9.7e-05
73	1046.09	9.7e-05
74	1046.08	9.7e-05
75	1046.1	9.7e-05
76	1046.1	9.7e-05
77	1046.09	9.7e-05
78	1046.11	9.7e-05
79	1046.1	9.7e-05
80	1046.11	9.7e-05
81	1046.12	9.7e-05
82	1046.11	9.7e-05
83	1046.1	9.7e-05
84	1046.09	9.7e-05
85	1046.11	9.7e-05
86	1046.12	9.7e-05
87	1046.11	9.7e-05
88	1046.14	9.7e-05
89	1046.09	9.7e-05
90	1046.09	9.7e-05
91	1046.1	9.7e-05
92	1046.11	9.7e-05
93	1046.13	9.7e-05
94	1046.15	9.7e-05
95	1046.13	9.7e-05
96	1046.13	9.7e-05
97	1046.11	9.7e-05
98	1046.12	9.7e-05
99	1046.13	9.7e-05
100	1046.12	9.7e-05
101	1046.13	9.7e-05
102	1046.12	9.7e-05
103	1046.12	9.7e-05
104	1046.1	9.7e-05
105	1046.11	9.7e-05
106	1046.12	9.7e-05
107	1046.12	9.7e-05
108	1046.12	9.7e-05
109	1046.12	9.7e-05
110	1046.12	9.7e-05
111	1046.13	9.7e-05
112	1046.14	9.7e-05
113	1046.14	9.7e-05
114	1046.16	9.7e-05
115	1046.12	9.7e-05
116	1046.14	9.7e-05
117	1046.14	9.7e-05
118	1046.12	9.7e-05
119	1046.14	9.7e-05
120	1046.14	9.7e-05
121	1046.12	9.7e-05
122	1046.12	9.7e-05
123	1046.12	9.7e-05
124	1046.14	9.7e-05
125	1046.13	9.7e-05
126	1046.14	9.7e-05
127	1046.15	9.7e-05
128	1046.14	9.7e-05
129	1046.14	9.7e-05
130	1046.12	9.7e-05
131	1046.12	9.7e-05
132	1046.12	9.7e-05
133	1046.11	9.7e-05
134	1046.12	9.7e-05
135	1046.12	9.7e-05
136	1046.1	9.7e-05
137	1046.12	9.7e-05
138	1046.16	9.7e-05
139	1046.16	9.7e-05
140	1046.16	9.7e-05
141	1046.14	9.7e-05
142	1046.16	9.7e-05
143	1046.13	9.7e-05
144	1046.13	9.7e-05
145	1046.11	9.7e-05
146	1046.13	9.7e-05
147	1046.14	9.7e-05
148	1046.14	9.7e-05
149	1046.15	9.7e-05
150	1046.16	9.7e-05
151	1046.15	9.7e-05
152	1046.13	9.7e-05
153	1046.17	9.7e-05
154	1046.16	9.7e-05
155	1046.17	9.7e-05
156	1046.16	9.7e-05
157	1046.16	9.7e-05
158	1046.15	9.7e-05
159	1046.15	9.7e-05
160	1046.15	9.7e-05
161	1046.15	9.7e-05
162	1046.15	9.7e-05
163	1046.15	9.7e-05
164	1046.15	9.7e-05
165	1046.18	9.7e-05
166	1046.16	9.7e-05
167	1046.17	9.7e-05
168	1046.15	9.7e-05
169	1046.13	9.7e-05
170	1046.16	9.7e-05
171	1046.17	9.7e-05
172	1046.16	9.7e-05
173	1046.17	9.7e-05
174	1046.15	9.7e-05
175	1046.15	9.7e-05
176	1046.14	9.7e-05
177	1046.15	9.7e-05
178	1046.17	9.7e-05
179	1046.17	9.7e-05
180	1046.16	9.7e-05
181	1046.17	9.7e-05
182	1046.18	9.7e-05
183	1046.17	9.7e-05
184	1046.16	9.7e-05
185	1046.17	9.7e-05
186	1046.18	9.7e-05
187	1046.2	9.7e-05
188	1046.18	9.7e-05
189	1046.19	9.7e-05
190	1046.21	9.7e-05
191	1046.19	9.7e-05
192	1046.18	9.7e-05
193	1046.16	9.7e-05
194	1046.17	9.7e-05
195	1046.19	9.7e-05
196	1046.18	9.7e-05
197	1046.16	9.7e-05
198	1046.18	9.7e-05
199	1046.21	9.7e-05
200	1046.2	9.7e-05
201	1046.21	9.7e-05
202	1046.2	9.7e-05
203	1046.17	9.7e-05
204	1046.19	9.7e-05
205	1046.19	9.7e-05
206	1046.18	9.7e-05
207	1046.18	9.7e-05
208	1046.2	9.7e-05
209	1046.2	9.7e-05
210	1046.2	9.7e-05
211	1046.2	9.7e-05
212	1046.21	9.7e-05
213	1046.19	9.7e-05
214	1046.18	9.7e-05
215	1046.2	9.7e-05
216	1046.2	9.7e-05
217	1046.17	9.7e-05
218	1046.19	9.7e-05
219	1046.21	9.7e-05
220	1046.19	9.7e-05
221	1046.18	9.7e-05
222	1046.19	9.7e-05
223	1046.17	9.7e-05
224	1046.19	9.7e-05
