time	R	I
0.0	913.748	9.7e-05
0.01	913.737	9.7e-05
0.02	913.738	9.7e-05
0.03	913.729	9.7e-05
0.04	913.747	9.7e-05
0.05	913.739	9.7e-05
0.06	913.728	9.7e-05
0.07	913.745	9.7e-05
0.08	913.724	9.7e-05
0.09	913.72	9.7e-05
0.1	913.729	9.7e-05
0.11	913.716	9.7e-05
0.12	913.718	9.7e-05
0.13	913.711	9.7e-05
0.14	913.71	9.7e-05
0.15	913.696	9.7e-05
0.16	913.731	9.7e-05
0.17	913.699	9.7e-05
0.18	913.715	9.7e-05
0.19	913.711	9.7e-05
0.2	913.703	9.7e-05
0.21	913.705	9.7e-05
0.22	913.717	9.7e-05
0.23	913.704	9.7e-05
0.24	913.704	9.7e-05
0.25	913.691	9.7e-05
0.26	913.708	9.7e-05
0.27	913.722	9.7e-05
0.28	913.689	9.7e-05
0.29	913.698	9.7e-05
0.3	913.689	9.7e-05
0.31	913.71	9.7e-05
0.32	913.713	9.7e-05
0.33	913.68	9.7e-05
0.34	913.68	9.7e-05
0.35	913.704	9.7e-05
0.36	913.702	9.7e-05
0.37	913.701	9.7e-05
0.38	913.717	9.7e-05
0.39	913.702	9.7e-05
0.4	913.683	9.7e-05
0.41	913.689	9.7e-05
0.42	913.709	9.7e-05
0.43	913.683	9.7e-05
0.44	913.692	9.7e-05
0.45	913.695	9.7e-05
0.46	913.693	9.7e-05
0.47	913.678	9.7e-05
0.48	913.695	9.7e-05
0.49	913.674	9.7e-05
0.5	913.706	9.7e-05
0.51	913.715	9.7e-05
0.52	913.683	9.7e-05
0.53	913.715	9.7e-05
0.54	913.694	9.7e-05
0.55	913.709	9.7e-05
0.56	913.695	9.7e-05
0.57	913.701	9.7e-05
0.58	913.713	9.7e-05
0.59	913.696	9.7e-05
0.6	913.688	9.7e-05
0.61	913.711	9.7e-05
0.62	913.716	9.7e-05
0.63	913.699	9.7e-05
0.64	913.709	9.7e-05
0.65	913.695	9.7e-05
0.66	913.711	9.7e-05
0.67	913.717	9.7e-05
0.68	913.728	9.7e-05
0.69	913.745	9.7e-05
0.7	913.728	9.7e-05
0.71	913.736	9.7e-05
0.72	913.724	9.7e-05
0.73	913.711	9.7e-05
0.74	913.739	9.7e-05
0.75	913.74	9.7e-05
0.76	913.733	9.7e-05
0.77	913.733	9.7e-05
0.78	913.732	9.7e-05
0.79	913.76	9.7e-05
0.8	913.748	9.7e-05
0.81	913.75	9.7e-05
0.82	913.751	9.7e-05
0.83	913.735	9.7e-05
0.84	913.75	9.7e-05
0.85	913.747	9.7e-05
0.86	913.721	9.7e-05
0.87	913.73	9.7e-05
0.88	913.732	9.7e-05
0.89	913.759	9.7e-05
0.9	913.746	9.7e-05
0.91	913.742	9.7e-05
0.92	913.754	9.7e-05
0.93	913.729	9.7e-05
0.94	913.767	9.7e-05
0.95	913.776	9.7e-05
0.96	913.754	9.7e-05
0.97	913.775	9.7e-05
0.98	913.795	9.7e-05
0.99	913.79	9.7e-05
