time	R	I
0.0	989.479	9.7e-05
0.01	989.466	9.7e-05
0.02	989.464	9.7e-05
0.03	989.49	9.7e-05
0.04	989.477	9.7e-05
0.05	989.454	9.7e-05
0.06	989.491	9.7e-05
0.07	989.488	9.7e-05
0.08	989.479	9.7e-05
0.09	989.47	9.7e-05
0.1	989.471	9.7e-05
0.11	989.5	9.7e-05
0.12	989.488	9.7e-05
0.13	989.484	9.7e-05
0.14	989.465	9.7e-05
0.15	989.479	9.7e-05
0.16	989.476	9.7e-05
0.17	989.485	9.7e-05
0.18	989.482	9.7e-05
0.19	989.484	9.7e-05
0.2	989.482	9.7e-05
0.21	989.507	9.7e-05
0.22	989.492	9.7e-05
0.23	989.483	9.7e-05
0.24	989.5	9.7e-05
0.25	989.48	9.7e-05
0.26	989.486	9.7e-05
0.27	989.486	9.7e-05
0.28	989.49	9.7e-05
0.29	989.484	9.7e-05
0.3	989.478	9.7e-05
0.31	989.464	9.7e-05
0.32	989.471	9.7e-05
0.33	989.488	9.7e-05
0.34	989.49	9.7e-05
0.35	989.498	9.7e-05
0.36	989.47	9.7e-05
0.37	989.472	9.7e-05
0.38	989.469	9.7e-05
0.39	989.451	9.7e-05
0.4	989.457	9.7e-05
0.41	989.469	9.7e-05
0.42	989.46	9.7e-05
0.43	989.48	9.7e-05
0.44	989.478	9.7e-05
0.45	989.494	9.7e-05
0.46	989.46	9.7e-05
0.47	989.485	9.7e-05
0.48	989.496	9.7e-05
0.49	989.501	9.7e-05
0.5	989.511	9.7e-05
0.51	989.495	9.7e-05
0.52	989.477	9.7e-05
0.53	989.5	9.7e-05
0.54	989.49	9.7e-05
0.55	989.49	9.7e-05
0.56	989.521	9.7e-05
0.57	989.504	9.7e-05
0.58	989.474	9.7e-05
0.59	989.492	9.7e-05
0.6	989.509	9.7e-05
0.61	989.515	9.7e-05
0.62	989.504	9.7e-05
0.63	989.471	9.7e-05
0.64	989.493	9.7e-05
0.65	989.468	9.7e-05
0.66	989.493	9.7e-05
0.67	989.465	9.7e-05
0.68	989.482	9.7e-05
0.69	989.494	9.7e-05
0.7	989.503	9.7e-05
0.71	989.503	9.7e-05
0.72	989.517	9.7e-05
0.73	989.487	9.7e-05
0.74	989.478	9.7e-05
0.75	989.504	9.7e-05
0.76	989.499	9.7e-05
0.77	989.489	9.7e-05
0.78	989.497	9.7e-05
0.79	989.513	9.7e-05
0.8	989.51	9.7e-05
0.81	989.519	9.7e-05
0.82	989.5	9.7e-05
0.83	989.516	9.7e-05
0.84	989.511	9.7e-05
0.85	989.521	9.7e-05
0.86	989.523	9.7e-05
0.87	989.504	9.7e-05
0.88	989.487	9.7e-05
0.89	989.526	9.7e-05
0.9	989.514	9.7e-05
0.91	989.536	9.7e-05
0.92	989.513	9.7e-05
0.93	989.536	9.7e-05
0.94	989.535	9.7e-05
0.95	989.523	9.7e-05
0.96	989.527	9.7e-05
0.97	989.552	9.7e-05
0.98	989.522	9.7e-05
0.99	989.534	9.7e-05
