N	R	I
0	868.772	9.7e-05
1	868.757	9.7e-05
2	868.779	9.7e-05
3	868.751	9.7e-05
4	868.778	9.7e-05
5	868.755	9.7e-05
6	868.754	9.7e-05
7	868.737	9.7e-05
8	868.745	9.7e-05
9	868.758	9.7e-05
10	868.73	9.7e-05
11	868.748	9.7e-05
12	868.75	9.7e-05
13	868.76	9.7e-05
14	868.725	9.7e-05
15	868.758	9.7e-05
16	868.754	9.7e-05
17	868.752	9.7e-05
18	868.748	9.7e-05
19	868.727	9.7e-05
20	868.759	9.7e-05
21	868.757	9.7e-05
22	868.754	9.7e-05
23	868.762	9.7e-05
24	868.749	9.7e-05
25	868.742	9.7e-05
26	868.767	9.7e-05
27	868.751	9.7e-05
28	868.74	9.7e-05
29	868.738	9.7e-05
30	868.753	9.7e-05
31	868.756	9.7e-05
32	868.754	9.7e-05
33	868.765	9.7e-05
34	868.756	9.7e-05
35	868.753	9.7e-05
36	868.745	9.7e-05
37	868.751	9.7e-05
38	868.75	9.7e-05
39	868.746	9.7e-05
40	868.742	9.7e-05
41	868.756	9.7e-05
42	868.742	9.7e-05
43	868.736	9.7e-05
44	868.771	9.7e-05
45	868.757	9.7e-05
46	868.759	9.7e-05
47	868.746	9.7e-05
48	868.748	9.7e-05
49	868.742	9.7e-05
50	868.761	9.7e-05
51	868.741	9.7e-05
52	868.754	9.7e-05
53	868.743	9.7e-05
54	868.721	9.7e-05
55	868.779	9.7e-05
56	868.754	9.7e-05
57	868.742	9.7e-05
58	868.758	9.7e-05
59	868.759	9.7e-05
60	868.762	9.7e-05
61	868.767	9.7e-05
62	868.766	9.7e-05
63	868.75	9.7e-05
64	868.761	9.7e-05
65	868.774	9.7e-05
66	868.762	9.7e-05
67	868.763	9.7e-05
68	868.755	9.7e-05
69	868.753	9.7e-05
70	868.738	9.7e-05
71	868.744	9.7e-05
72	868.761	9.7e-05
73	868.755	9.7e-05
74	868.748	9.7e-05
75	868.774	9.7e-05
76	868.775	9.7e-05
77	868.764	9.7e-05
78	868.771	9.7e-05
79	868.76	9.7e-05
80	868.758	9.7e-05
81	868.772	9.7e-05
82	868.763	9.7e-05
83	868.734	9.7e-05
84	868.762	9.7e-05
85	868.754	9.7e-05
86	868.771	9.7e-05
87	868.768	9.7e-05
88	868.775	9.7e-05
89	868.767	9.7e-05
90	868.746	9.7e-05
91	868.747	9.7e-05
92	868.75	9.7e-05
93	868.765	9.7e-05
94	868.727	9.7e-05
95	868.765	9.7e-05
96	868.768	9.7e-05
97	868.763	9.7e-05
98	868.752	9.7e-05
99	868.738	9.7e-05
