time	R	I
0.0	913.452	9.7e-05
0.01	913.457	9.7e-05
0.02	913.465	9.7e-05
0.03	913.478	9.7e-05
0.04	913.481	9.7e-05
0.05	913.483	9.7e-05
0.06	913.504	9.7e-05
0.07	913.459	9.7e-05
0.08	913.488	9.7e-05
0.09	913.502	9.7e-05
0.1	913.493	9.7e-05
0.11	913.477	9.7e-05
0.12	913.46	9.7e-05
0.13	913.441	9.7e-05
0.14	913.459	9.7e-05
0.15	913.468	9.7e-05
0.16	913.483	9.7e-05
0.17	913.48	9.7e-05
0.18	913.464	9.7e-05
0.19	913.46	9.7e-05
0.2	913.479	9.7e-05
0.21	913.458	9.7e-05
0.22	913.446	9.7e-05
0.23	913.457	9.7e-05
0.24	913.459	9.7e-05
0.25	913.449	9.7e-05
0.26	913.453	9.7e-05
0.27	913.472	9.7e-05
0.28	913.461	9.7e-05
0.29	913.486	9.7e-05
0.3	913.483	9.7e-05
0.31	913.466	9.7e-05
0.32	913.465	9.7e-05
0.33	913.452	9.7e-05
0.34	913.49	9.7e-05
0.35	913.495	9.7e-05
0.36	913.493	9.7e-05
0.37	913.483	9.7e-05
0.38	913.469	9.7e-05
0.39	913.475	9.7e-05
0.4	913.482	9.7e-05
0.41	913.469	9.7e-05
0.42	913.443	9.7e-05
0.43	913.458	9.7e-05
0.44	913.488	9.7e-05
0.45	913.469	9.7e-05
0.46	913.506	9.7e-05
0.47	913.494	9.7e-05
0.48	913.49	9.7e-05
0.49	913.478	9.7e-05
0.5	913.488	9.7e-05
0.51	913.482	9.7e-05
0.52	913.487	9.7e-05
0.53	913.478	9.7e-05
0.54	913.489	9.7e-05
0.55	913.504	9.7e-05
0.56	913.498	9.7e-05
0.57	913.503	9.7e-05
0.58	913.48	9.7e-05
0.59	913.518	9.7e-05
0.6	913.52	9.7e-05
0.61	913.509	9.7e-05
0.62	913.5	9.7e-05
0.63	913.498	9.7e-05
0.64	913.481	9.7e-05
0.65	913.514	9.7e-05
0.66	913.495	9.7e-05
0.67	913.502	9.7e-05
0.68	913.491	9.7e-05
0.69	913.493	9.7e-05
0.7	913.491	9.7e-05
0.71	913.478	9.7e-05
0.72	913.51	9.7e-05
0.73	913.543	9.7e-05
0.74	913.54	9.7e-05
0.75	913.521	9.7e-05
0.76	913.538	9.7e-05
0.77	913.522	9.7e-05
0.78	913.541	9.7e-05
0.79	913.534	9.7e-05
0.8	913.537	9.7e-05
0.81	913.548	9.7e-05
0.82	913.55	9.7e-05
0.83	913.535	9.7e-05
0.84	913.545	9.7e-05
0.85	913.543	9.7e-05
0.86	913.55	9.7e-05
0.87	913.529	9.7e-05
0.88	913.551	9.7e-05
0.89	913.535	9.7e-05
0.9	913.535	9.7e-05
0.91	913.514	9.7e-05
0.92	913.549	9.7e-05
0.93	913.539	9.7e-05
0.94	913.549	9.7e-05
0.95	913.537	9.7e-05
0.96	913.572	9.7e-05
0.97	913.568	9.7e-05
0.98	913.591	9.7e-05
0.99	913.567	9.7e-05
