V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	0.000200328	0.834466	0.00621125	1094.422
30.0	0.000250729	0.845183	0.00754781	1094.416
30.0	0.000312484	0.856747	0.00917197	1094.428
30.0	0.000388628	0.869308	0.0111456	1094.439
30.0	0.000481004	0.883071	0.013544	1094.435
30.0	0.000593102	0.898205	0.0164584	1094.421
30.0	0.000728615	0.914897	0.02	1094.439
30.0	0.000729727	0.914677	0.02	1094.43
30.0	0.000593573	0.897713	0.0164584	1094.419
30.0	0.000481506	0.882451	0.013544	1094.415
30.0	0.000388588	0.868646	0.0111456	1094.436
30.0	0.000313131	0.856075	0.00917197	1094.424
30.0	0.000250845	0.844522	0.00754781	1094.435
30.0	0.000200482	0.833853	0.00621125	1094.428
30.0	0.000159915	0.823869	0.00511137	1094.425
30.0	0.000126935	0.814443	0.00420626	1094.423
30.0	0.00010034	0.805482	0.00346142	1094.424
30.0	7.96254e-05	0.796875	0.00284847	1094.416
30.0	6.28481e-05	0.788556	0.00234407	1094.429
30.0	4.95108e-05	0.780441	0.00192898	1094.443
30.0	3.90996e-05	0.772493	0.0015874	1094.458
30.0	3.09082e-05	0.764662	0.00130631	1094.417
30.0	2.46603e-05	0.756927	0.00107499	1094.415
30.0	1.9786e-05	0.749284	0.000884629	1094.43
30.0	1.59928e-05	0.741688	0.00072798	1094.425
30.0	1.29853e-05	0.734147	0.00059907	1094.44
30.0	1.07511e-05	0.726659	0.000492988	1094.43
30.0	9.04529e-06	0.719227	0.00040569	1094.437
30.0	7.801e-06	0.711854	0.000333851	1094.424
30.0	6.76599e-06	0.704554	0.000274733	1094.433
30.0	6.02073e-06	0.697326	0.000226083	1094.437
30.0	5.4384e-06	0.69019	0.000186049	1094.436
30.0	4.97562e-06	0.683159	0.000153104	1094.436
30.0	4.65287e-06	0.676236	0.000125992	1094.439
30.0	4.43679e-06	0.669424	0.000103682	1094.442
30.0	4.21234e-06	0.662737	8.53217e-05	1094.445
30.0	4.08048e-06	0.656173	7.02131e-05	1094.422
30.0	3.95552e-06	0.649736	5.77798e-05	1094.447
30.0	3.86455e-06	0.643416	4.75482e-05	1094.448
30.0	3.83465e-06	0.637218	3.91284e-05	1094.445
