time	R	I
0.0	1080.12	9.7e-05
0.01	1080.12	9.7e-05
0.02	1080.13	9.7e-05
0.03	1080.12	9.7e-05
0.04	1080.12	9.7e-05
0.05	1080.12	9.7e-05
0.06	1080.12	9.7e-05
0.07	1080.11	9.7e-05
0.08	1080.12	9.7e-05
0.09	1080.17	9.7e-05
0.1	1080.14	9.7e-05
0.11	1080.12	9.7e-05
0.12	1080.11	9.7e-05
0.13	1080.11	9.7e-05
0.14	1080.13	9.7e-05
0.15	1080.11	9.7e-05
0.16	1080.12	9.7e-05
0.17	1080.11	9.7e-05
0.18	1080.11	9.7e-05
0.19	1080.08	9.7e-05
0.2	1080.11	9.7e-05
0.21	1080.12	9.7e-05
0.22	1080.1	9.7e-05
0.23	1080.11	9.7e-05
0.24	1080.1	9.7e-05
0.25	1080.11	9.7e-05
0.26	1080.09	9.7e-05
0.27	1080.08	9.7e-05
0.28	1080.13	9.7e-05
0.29	1080.12	9.7e-05
0.3	1080.12	9.7e-05
0.31	1080.11	9.7e-05
0.32	1080.12	9.7e-05
0.33	1080.15	9.7e-05
0.34	1080.09	9.7e-05
0.35	1080.12	9.7e-05
0.36	1080.1	9.7e-05
0.37	1080.1	9.7e-05
0.38	1080.1	9.7e-05
0.39	1080.09	9.7e-05
0.4	1080.09	9.7e-05
0.41	1080.1	9.7e-05
0.42	1080.07	9.7e-05
0.43	1080.09	9.7e-05
0.44	1080.1	9.7e-05
0.45	1080.08	9.7e-05
0.46	1080.07	9.7e-05
0.47	1080.07	9.7e-05
0.48	1080.09	9.7e-05
0.49	1080.1	9.7e-05
0.5	1080.11	9.7e-05
0.51	1080.09	9.7e-05
0.52	1080.11	9.7e-05
0.53	1080.11	9.7e-05
0.54	1080.08	9.7e-05
0.55	1080.08	9.7e-05
0.56	1080.1	9.7e-05
0.57	1080.1	9.7e-05
0.58	1080.08	9.7e-05
0.59	1080.09	9.7e-05
0.6	1080.11	9.7e-05
0.61	1080.1	9.7e-05
0.62	1080.11	9.7e-05
0.63	1080.09	9.7e-05
0.64	1080.09	9.7e-05
0.65	1080.08	9.7e-05
0.66	1080.08	9.7e-05
0.67	1080.12	9.7e-05
0.68	1080.08	9.7e-05
0.69	1080.07	9.7e-05
0.7	1080.1	9.7e-05
0.71	1080.11	9.7e-05
0.72	1080.08	9.7e-05
0.73	1080.09	9.7e-05
0.74	1080.1	9.7e-05
0.75	1080.11	9.7e-05
0.76	1080.12	9.7e-05
0.77	1080.09	9.7e-05
0.78	1080.09	9.7e-05
0.79	1080.1	9.7e-05
0.8	1080.07	9.7e-05
0.81	1080.09	9.7e-05
0.82	1080.09	9.7e-05
0.83	1080.07	9.7e-05
0.84	1080.06	9.7e-05
0.85	1080.09	9.7e-05
0.86	1080.07	9.7e-05
0.87	1080.11	9.7e-05
0.88	1080.09	9.7e-05
0.89	1080.12	9.7e-05
0.9	1080.08	9.7e-05
0.91	1080.09	9.7e-05
0.92	1080.03	9.7e-05
0.93	1080.05	9.7e-05
0.94	1080.1	9.7e-05
0.95	1080.09	9.7e-05
0.96	1080.08	9.7e-05
0.97	1080.12	9.7e-05
0.98	1080.09	9.7e-05
0.99	1080.12	9.7e-05
