N	R	I
362	1094.72	9.7e-05
363	1094.74	9.7e-05
364	1094.72	9.7e-05
365	1094.7	9.7e-05
366	1094.7	9.7e-05
367	1094.68	9.7e-05
368	1094.67	9.7e-05
369	1094.62	9.7e-05
370	1094.65	9.7e-05
371	1094.65	9.7e-05
372	1094.64	9.7e-05
373	1094.63	9.7e-05
374	1094.58	9.7e-05
375	1094.6	9.7e-05
376	1094.56	9.7e-05
377	1094.55	9.7e-05
378	1094.55	9.7e-05
379	1094.56	9.7e-05
380	1094.56	9.7e-05
381	1094.57	9.7e-05
382	1094.54	9.7e-05
383	1094.56	9.7e-05
384	1094.52	9.7e-05
385	1094.48	9.7e-05
386	1094.5	9.7e-05
387	1094.47	9.7e-05
388	1094.46	9.7e-05
389	1094.47	9.7e-05
390	1094.46	9.7e-05
391	1094.43	9.7e-05
392	1094.43	9.7e-05
393	1094.41	9.7e-05
394	1094.41	9.7e-05
395	1094.44	9.7e-05
396	1094.39	9.7e-05
397	1094.41	9.7e-05
398	1094.39	9.7e-05
399	1094.36	9.7e-05
400	1094.39	9.7e-05
401	1094.36	9.7e-05
