22	2.94E-09
22.1	2.89E-09
22.2	2.90E-09
22.3	2.95E-09
22.4	3.11E-09
22.5	3.04E-09
22.6	2.99E-09
22.7	3.12E-09
22.8	3.07E-09
22.9	3.12E-09
23	3.08E-09
23.1	3.18E-09
23.2	3.20E-09
23.3	3.20E-09
23.4	3.37E-09
23.5	3.29E-09
23.6	3.44E-09
23.7	3.39E-09
23.8	3.39E-09
23.9	3.49E-09
24	3.57E-09
24.1	3.56E-09
24.2	3.57E-09
24.3	3.63E-09
24.4	3.68E-09
24.5	3.64E-09
24.6	3.73E-09
24.7	3.76E-09
24.8	4.17E-09
24.9	6.89E-09
25	1.20E-08
25.1	1.95E-08
25.2	3.03E-08
25.3	4.24E-08
25.4	5.62E-08
25.5	7.37E-08
25.6	9.01E-08
25.7	1.09E-07
25.8	1.31E-07
25.9	1.55E-07
26	1.80E-07
26.1	2.06E-07
26.2	2.37E-07
26.3	2.69E-07
26.4	3.00E-07
26.5	3.34E-07
26.6	3.70E-07
26.7	4.09E-07
26.8	4.45E-07
26.9	4.84E-07
27	5.26E-07
27.1	5.74E-07
27.2	6.24E-07
27.3	6.64E-07
27.4	7.21E-07
27.5	7.76E-07
27.6	8.42E-07
27.7	8.85E-07
27.8	9.50E-07
27.9	1.01E-06
28	1.09E-06
28.1	1.16E-06
28.2	1.22E-06
28.3	1.30E-06
28.4	1.40E-06
28.5	1.47E-06
28.6	1.56E-06
28.7	1.64E-06
28.8	1.74E-06
28.9	1.85E-06
29	1.95E-06
29.1	2.05E-06
29.2	2.17E-06
29.3	2.29E-06
29.4	2.43E-06
29.5	2.54E-06
29.6	2.68E-06
29.7	2.84E-06
29.8	3.00E-06
29.9	3.14E-06
30	3.30E-06
30.1	3.48E-06
