N	R	I
228	1093.7	9.7e-05
229	1093.73	9.7e-05
230	1093.74	9.7e-05
231	1093.76	9.7e-05
232	1093.71	9.7e-05
233	1093.72	9.7e-05
234	1093.71	9.7e-05
235	1093.74	9.7e-05
236	1093.73	9.7e-05
237	1093.74	9.7e-05
238	1093.72	9.7e-05
239	1093.75	9.7e-05
240	1093.75	9.7e-05
241	1093.73	9.7e-05
242	1093.77	9.7e-05
243	1093.77	9.7e-05
244	1093.79	9.7e-05
245	1093.78	9.7e-05
246	1093.78	9.7e-05
247	1093.78	9.7e-05
248	1093.76	9.7e-05
249	1093.8	9.7e-05
250	1093.8	9.7e-05
251	1093.79	9.7e-05
252	1093.8	9.7e-05
253	1093.81	9.7e-05
254	1093.8	9.7e-05
255	1093.77	9.7e-05
256	1093.78	9.7e-05
257	1093.8	9.7e-05
258	1093.78	9.7e-05
259	1093.79	9.7e-05
260	1093.82	9.7e-05
261	1093.81	9.7e-05
262	1093.81	9.7e-05
263	1093.8	9.7e-05
264	1093.79	9.7e-05
265	1093.8	9.7e-05
266	1093.81	9.7e-05
267	1093.79	9.7e-05
268	1093.82	9.7e-05
269	1093.84	9.7e-05
270	1093.85	9.7e-05
271	1093.86	9.7e-05
272	1093.87	9.7e-05
273	1093.85	9.7e-05
274	1093.85	9.7e-05
275	1093.85	9.7e-05
276	1093.85	9.7e-05
277	1093.88	9.7e-05
278	1093.86	9.7e-05
279	1093.86	9.7e-05
280	1093.86	9.7e-05
281	1093.88	9.7e-05
282	1093.89	9.7e-05
283	1093.89	9.7e-05
284	1093.88	9.7e-05
285	1093.88	9.7e-05
286	1093.88	9.7e-05
287	1093.9	9.7e-05
288	1093.91	9.7e-05
289	1093.91	9.7e-05
290	1093.91	9.7e-05
291	1093.93	9.7e-05
292	1093.91	9.7e-05
293	1093.9	9.7e-05
294	1093.93	9.7e-05
295	1093.91	9.7e-05
296	1093.9	9.7e-05
297	1093.9	9.7e-05
298	1093.89	9.7e-05
299	1093.91	9.7e-05
300	1093.92	9.7e-05
301	1093.94	9.7e-05
302	1093.91	9.7e-05
303	1093.9	9.7e-05
304	1093.93	9.7e-05
305	1093.93	9.7e-05
306	1093.93	9.7e-05
307	1093.95	9.7e-05
308	1093.95	9.7e-05
309	1093.93	9.7e-05
310	1093.94	9.7e-05
311	1093.96	9.7e-05
312	1093.94	9.7e-05
313	1093.95	9.7e-05
314	1093.96	9.7e-05
315	1093.97	9.7e-05
316	1093.98	9.7e-05
317	1093.99	9.7e-05
318	1093.95	9.7e-05
319	1093.97	9.7e-05
320	1093.97	9.7e-05
321	1093.96	9.7e-05
322	1093.96	9.7e-05
323	1093.95	9.7e-05
324	1093.97	9.7e-05
325	1093.96	9.7e-05
326	1093.98	9.7e-05
327	1093.98	9.7e-05
328	1093.96	9.7e-05
329	1093.99	9.7e-05
330	1093.99	9.7e-05
331	1094.0	9.7e-05
332	1093.99	9.7e-05
333	1094.02	9.7e-05
334	1094.02	9.7e-05
335	1094.01	9.7e-05
336	1094.01	9.7e-05
337	1094.01	9.7e-05
338	1094.02	9.7e-05
339	1094.02	9.7e-05
340	1094.03	9.7e-05
341	1094.01	9.7e-05
342	1094.01	9.7e-05
343	1094.04	9.7e-05
344	1094.01	9.7e-05
345	1094.04	9.7e-05
346	1094.01	9.7e-05
347	1094.04	9.7e-05
348	1094.04	9.7e-05
349	1094.06	9.7e-05
350	1094.04	9.7e-05
351	1094.05	9.7e-05
352	1094.04	9.7e-05
353	1094.05	9.7e-05
354	1094.06	9.7e-05
355	1094.07	9.7e-05
356	1094.06	9.7e-05
357	1094.08	9.7e-05
358	1094.08	9.7e-05
359	1094.04	9.7e-05
