V_sipm	I_sipm	R_rtd
0.01	-8.37243e-10	856.9266
0.02	-1.21773e-09	856.8861
0.03	-2.02309e-09	856.8984
0.04	-1.1254e-09	856.8972
0.05	-8.08394e-10	856.8943
0.06	-1.10785e-09	856.8954
0.07	-1.99311e-09	856.8913
0.08	-4.77839e-10	856.8825
0.09	-1.14365e-09	856.9039
0.1	-8.47816e-10	856.8916
0.11	-1.29941e-09	856.9025
0.12	-1.34734e-09	856.8812
0.13	-1.99524e-09	856.8969
0.14	-9.3838e-10	856.8743
0.15	-8.59642e-10	856.8884
0.16	-1.27128e-09	856.8906
0.17	-2.01291e-09	856.8592
0.18	-1.08942e-09	856.886
0.19	-3.18921e-10	856.8567
0.2	-7.53164e-10	856.8638
0.21	-9.89044e-10	856.8588
0.22	-1.79863e-09	856.8621
0.23	-1.59235e-09	856.8532
0.24	-1.22068e-09	856.8371
0.25	-5.43869e-10	856.8599
0.26	-4.97675e-10	856.8461
0.27	-9.77373e-10	856.8579
0.28	-7.31122e-10	856.8714
0.29	7.7033e-11	856.8581
0.3	6.91867e-10	856.8669
0.31	4.02617e-10	856.856
0.32	7.08258e-10	856.8301
0.33	2.35301e-09	856.8535
0.34	3.5453e-09	856.8325
0.35	4.91285e-09	856.8408
0.36	5.61589e-09	856.8403
0.37	8.77981e-09	856.8448
0.38	1.34366e-08	856.8375
0.39	1.83089e-08	856.8333
0.4	2.4923e-08	856.8093
0.41	3.45321e-08	856.8135
0.42	4.69846e-08	856.8232
0.43	6.48573e-08	856.8118
0.44	8.92236e-08	856.8094
0.45	1.24675e-07	856.8115
0.46	1.75327e-07	856.8207
0.47	2.49223e-07	856.8068
0.48	3.5721e-07	856.8203
0.49	5.17898e-07	856.8309
0.5	7.57442e-07	856.8269
0.51	1.11847e-06	856.818
0.52	1.66835e-06	856.8143
0.53	2.50548e-06	856.811
0.54	3.79641e-06	856.814
0.55	5.78088e-06	856.8114
0.56	8.8566e-06	856.8041
0.57	1.35848e-05	856.8062
0.58	2.09211e-05	856.8151
0.59	3.21363e-05	856.7922
0.6	4.92486e-05	856.8022
0.61	7.47495e-05	856.7915
0.62	0.000112098	856.771
0.63	0.000165405	856.7792
0.64	0.00023832	856.7825
0.65	0.000334663	856.7788
0.66	0.000455809	856.7772
0.67	0.000603018	856.7794
0.68	0.000774254	856.7891
0.69	0.000968692	856.7587
0.7	0.00118253	856.7542
0.71	0.001414	856.7554
0.72	0.00166146	856.742
0.73	0.00192119	856.7557
0.74	0.00219313	856.7289
0.75	0.0024741	856.746
0.76	0.00276436	856.7219
0.77	0.00306115	856.7226
0.78	0.00336523	856.7302
0.79	0.00367398	856.7134
0.8	0.00398925	856.705
0.81	0.00430719	856.7029
0.82	0.00462962	856.6936
0.83	0.00495681	856.6777
0.84	0.00528603	856.6938
0.85	0.00561935	856.6892
0.86	0.00595423	856.6758
0.87	0.00629267	856.6715
0.88	0.0066322	856.6843
0.89	0.00697521	856.6757
0.9	0.00731869	856.6689
0.91	0.00766381	856.6728
0.92	0.00801166	856.6542
0.93	0.00836022	856.6716
0.94	0.00871122	856.6522
0.95	0.00906232	856.6633
0.96	0.00941554	856.6619
0.97	0.00976891	856.6678
0.98	0.010124	856.6509
0.99	0.0104789	856.6464
1.0	0.010832	856.6546
