time	R	I
0.0	913.232	9.7e-05
0.01	913.221	9.7e-05
0.02	913.232	9.7e-05
0.03	913.192	9.7e-05
0.04	913.215	9.7e-05
0.05	913.189	9.7e-05
0.06	913.182	9.7e-05
0.07	913.209	9.7e-05
0.08	913.191	9.7e-05
0.09	913.211	9.7e-05
0.1	913.205	9.7e-05
0.11	913.201	9.7e-05
0.12	913.221	9.7e-05
0.13	913.217	9.7e-05
0.14	913.178	9.7e-05
0.15	913.2	9.7e-05
0.16	913.179	9.7e-05
0.17	913.184	9.7e-05
0.18	913.145	9.7e-05
0.19	913.172	9.7e-05
0.2	913.194	9.7e-05
0.21	913.199	9.7e-05
0.22	913.173	9.7e-05
0.23	913.206	9.7e-05
0.24	913.185	9.7e-05
0.25	913.173	9.7e-05
0.26	913.169	9.7e-05
0.27	913.207	9.7e-05
0.28	913.188	9.7e-05
0.29	913.188	9.7e-05
0.3	913.174	9.7e-05
0.31	913.184	9.7e-05
0.32	913.195	9.7e-05
0.33	913.183	9.7e-05
0.34	913.202	9.7e-05
0.35	913.18	9.7e-05
0.36	913.164	9.7e-05
0.37	913.164	9.7e-05
0.38	913.17	9.7e-05
0.39	913.136	9.7e-05
0.4	913.177	9.7e-05
0.41	913.145	9.7e-05
0.42	913.156	9.7e-05
0.43	913.173	9.7e-05
0.44	913.159	9.7e-05
0.45	913.172	9.7e-05
0.46	913.152	9.7e-05
0.47	913.146	9.7e-05
0.48	913.16	9.7e-05
0.49	913.162	9.7e-05
0.5	913.149	9.7e-05
0.51	913.141	9.7e-05
0.52	913.141	9.7e-05
0.53	913.153	9.7e-05
0.54	913.142	9.7e-05
0.55	913.17	9.7e-05
0.56	913.137	9.7e-05
0.57	913.141	9.7e-05
0.58	913.16	9.7e-05
0.59	913.155	9.7e-05
0.6	913.139	9.7e-05
0.61	913.151	9.7e-05
0.62	913.167	9.7e-05
0.63	913.141	9.7e-05
0.64	913.171	9.7e-05
0.65	913.169	9.7e-05
0.66	913.149	9.7e-05
0.67	913.16	9.7e-05
0.68	913.167	9.7e-05
0.69	913.178	9.7e-05
0.7	913.156	9.7e-05
0.71	913.155	9.7e-05
0.72	913.169	9.7e-05
0.73	913.122	9.7e-05
0.74	913.157	9.7e-05
0.75	913.138	9.7e-05
0.76	913.145	9.7e-05
0.77	913.135	9.7e-05
0.78	913.139	9.7e-05
0.79	913.142	9.7e-05
0.8	913.141	9.7e-05
0.81	913.169	9.7e-05
0.82	913.143	9.7e-05
0.83	913.161	9.7e-05
0.84	913.181	9.7e-05
0.85	913.18	9.7e-05
0.86	913.155	9.7e-05
0.87	913.151	9.7e-05
0.88	913.152	9.7e-05
0.89	913.179	9.7e-05
0.9	913.145	9.7e-05
0.91	913.154	9.7e-05
0.92	913.144	9.7e-05
0.93	913.142	9.7e-05
0.94	913.145	9.7e-05
0.95	913.137	9.7e-05
0.96	913.154	9.7e-05
0.97	913.141	9.7e-05
0.98	913.148	9.7e-05
0.99	913.139	9.7e-05
