V_sipm	I_sipm	R_rtd
20.0	-6.90792e-09	949.0831
20.1	8.97696e-09	949.0493
20.2	5.82401e-09	949.0693
20.3	1.23392e-09	949.0771
20.4	4.26099e-09	949.0521
20.5	3.62834e-09	949.0817
20.6	4.04866e-09	949.071
20.7	5.76364e-09	949.0701
20.8	4.98151e-09	949.0792
20.9	3.83441e-09	949.0798
21.0	3.75561e-09	949.0846
21.1	4.75507e-09	949.0667
21.2	5.48228e-09	949.0767
21.3	1.22463e-09	949.0656
21.4	3.88207e-09	949.0818
21.5	3.43608e-09	949.0795
21.6	4.2578e-09	949.0739
21.7	5.54925e-09	949.0655
21.8	4.32117e-09	949.0641
21.9	3.3932e-09	949.0615
22.0	4.18277e-09	949.0738
22.1	3.93504e-09	949.0651
22.2	5.40159e-09	949.0631
22.3	4.33953e-09	949.066
22.4	1.15274e-09	949.089
22.5	3.50361e-09	949.0711
22.6	3.78366e-09	949.0746
22.7	4.86628e-09	949.0872
22.8	5.15283e-09	949.0699
22.9	3.70803e-09	949.0496
23.0	3.77483e-09	949.0849
23.1	5.13763e-09	949.0843
23.2	4.57302e-09	949.0682
23.3	5.07842e-09	949.0506
23.4	3.82956e-09	949.066
23.5	1.29385e-09	949.0573
23.6	3.58037e-09	949.0641
23.7	4.36629e-09	949.0671
23.8	5.80223e-09	949.0739
23.9	4.10509e-09	949.072
24.0	4.45011e-09	949.0534
24.1	8.9838e-09	949.0759
24.2	5.82318e-08	949.0507
24.3	2.54965e-07	949.0746
24.4	5.57815e-07	949.0734
24.5	9.83649e-07	949.0668
24.6	1.49469e-06	949.0629
24.7	2.12501e-06	949.0637
24.8	2.80803e-06	949.0533
24.9	3.61042e-06	949.0656
25.0	4.46371e-06	949.0518
25.1	5.40184e-06	949.0594
25.2	6.41764e-06	949.063
25.3	7.47377e-06	949.0645
25.4	8.65768e-06	949.0737
25.5	9.82779e-06	949.0593
25.6	1.11578e-05	949.0854
25.7	1.24797e-05	949.0576
25.8	1.38551e-05	949.0772
25.9	1.52443e-05	949.0618
26.0	1.67183e-05	949.0651
26.1	1.83222e-05	949.0734
26.2	1.98237e-05	949.0723
26.3	2.15221e-05	949.0798
26.4	2.31825e-05	949.0674
26.5	2.50589e-05	949.0685
26.6	2.67881e-05	949.076
26.7	2.87238e-05	949.0721
26.8	3.06064e-05	949.065
26.9	3.25013e-05	949.0762
27.0	3.45479e-05	949.0686
27.1	3.66195e-05	949.0718
27.2	3.88144e-05	949.06
27.3	4.10411e-05	949.0737
27.4	4.33852e-05	949.0806
27.5	4.56721e-05	949.0664
27.6	4.82287e-05	949.069
27.7	5.05946e-05	949.0771
27.8	5.30937e-05	949.0771
27.9	5.58267e-05	949.0767
28.0	5.85025e-05	949.0701
28.1	6.13475e-05	949.079
28.2	6.42061e-05	949.061
28.3	6.72823e-05	949.066
28.4	7.02491e-05	949.0614
28.5	7.34685e-05	949.0548
28.6	7.67236e-05	949.0546
28.7	8.00115e-05	949.0463
28.8	8.33921e-05	949.0693
28.9	8.72552e-05	949.0684
29.0	9.10543e-05	949.059
29.1	9.47841e-05	949.059
29.2	9.89206e-05	949.0623
29.3	0.000103241	949.0584
29.4	0.000107773	949.0625
29.5	0.00011192	949.071
29.6	0.000116751	949.0732
29.7	0.000121711	949.0617
29.8	0.000126899	949.0544
29.9	0.000132336	949.0569
