N	R	I
0	945.42	9.7e-05
1	945.42	9.7e-05
2	945.435	9.7e-05
3	945.421	9.7e-05
4	945.425	9.7e-05
5	945.421	9.7e-05
6	945.428	9.7e-05
7	945.417	9.7e-05
8	945.412	9.7e-05
9	945.413	9.7e-05
10	945.43	9.7e-05
11	945.424	9.7e-05
12	945.441	9.7e-05
13	945.449	9.7e-05
14	945.436	9.7e-05
15	945.433	9.7e-05
16	945.457	9.7e-05
17	945.454	9.7e-05
18	945.455	9.7e-05
19	945.438	9.7e-05
20	945.436	9.7e-05
21	945.444	9.7e-05
22	945.462	9.7e-05
23	945.439	9.7e-05
24	945.43	9.7e-05
25	945.456	9.7e-05
26	945.431	9.7e-05
27	945.43	9.7e-05
28	945.434	9.7e-05
29	945.438	9.7e-05
30	945.428	9.7e-05
31	945.45	9.7e-05
32	945.439	9.7e-05
33	945.448	9.7e-05
34	945.438	9.7e-05
35	945.435	9.7e-05
36	945.444	9.7e-05
37	945.431	9.7e-05
38	945.411	9.7e-05
39	945.42	9.7e-05
40	945.416	9.7e-05
41	945.446	9.7e-05
42	945.441	9.7e-05
43	945.455	9.7e-05
44	945.452	9.7e-05
45	945.446	9.7e-05
46	945.45	9.7e-05
47	945.451	9.7e-05
48	945.443	9.7e-05
49	945.44	9.7e-05
50	945.447	9.7e-05
51	945.444	9.7e-05
52	945.459	9.7e-05
53	945.458	9.7e-05
54	945.438	9.7e-05
55	945.459	9.7e-05
56	945.469	9.7e-05
57	945.466	9.7e-05
58	945.465	9.7e-05
59	945.459	9.7e-05
60	945.458	9.7e-05
61	945.439	9.7e-05
62	945.432	9.7e-05
63	945.445	9.7e-05
64	945.463	9.7e-05
65	945.446	9.7e-05
66	945.421	9.7e-05
67	945.443	9.7e-05
68	945.455	9.7e-05
69	945.443	9.7e-05
70	945.444	9.7e-05
71	945.449	9.7e-05
72	945.451	9.7e-05
73	945.431	9.7e-05
74	945.432	9.7e-05
75	945.442	9.7e-05
76	945.44	9.7e-05
77	945.429	9.7e-05
78	945.447	9.7e-05
79	945.442	9.7e-05
80	945.44	9.7e-05
81	945.43	9.7e-05
82	945.443	9.7e-05
83	945.447	9.7e-05
84	945.439	9.7e-05
85	945.461	9.7e-05
86	945.475	9.7e-05
87	945.454	9.7e-05
88	945.467	9.7e-05
89	945.458	9.7e-05
90	945.455	9.7e-05
91	945.451	9.7e-05
92	945.445	9.7e-05
93	945.439	9.7e-05
94	945.447	9.7e-05
95	945.446	9.7e-05
96	945.429	9.7e-05
97	945.46	9.7e-05
98	945.455	9.7e-05
99	945.441	9.7e-05
100	945.442	9.7e-05
101	945.457	9.7e-05
102	945.474	9.7e-05
103	945.451	9.7e-05
104	945.462	9.7e-05
105	945.465	9.7e-05
106	945.474	9.7e-05
107	945.448	9.7e-05
108	945.46	9.7e-05
109	945.462	9.7e-05
110	945.451	9.7e-05
111	945.468	9.7e-05
112	945.453	9.7e-05
113	945.451	9.7e-05
114	945.444	9.7e-05
115	945.463	9.7e-05
116	945.492	9.7e-05
117	945.492	9.7e-05
118	945.464	9.7e-05
119	945.464	9.7e-05
120	945.47	9.7e-05
121	945.476	9.7e-05
122	945.47	9.7e-05
123	945.49	9.7e-05
124	945.477	9.7e-05
125	945.466	9.7e-05
126	945.488	9.7e-05
127	945.472	9.7e-05
128	945.459	9.7e-05
129	945.439	9.7e-05
130	945.454	9.7e-05
131	945.462	9.7e-05
132	945.458	9.7e-05
133	945.475	9.7e-05
134	945.482	9.7e-05
135	945.459	9.7e-05
136	945.474	9.7e-05
137	945.497	9.7e-05
138	945.5	9.7e-05
139	945.491	9.7e-05
140	945.483	9.7e-05
141	945.464	9.7e-05
142	945.491	9.7e-05
143	945.493	9.7e-05
144	945.48	9.7e-05
145	945.478	9.7e-05
146	945.481	9.7e-05
147	945.498	9.7e-05
148	945.476	9.7e-05
149	945.503	9.7e-05
150	945.485	9.7e-05
151	945.487	9.7e-05
152	945.473	9.7e-05
153	945.502	9.7e-05
154	945.488	9.7e-05
155	945.48	9.7e-05
156	945.467	9.7e-05
157	945.485	9.7e-05
158	945.491	9.7e-05
159	945.493	9.7e-05
160	945.5	9.7e-05
161	945.486	9.7e-05
162	945.497	9.7e-05
163	945.485	9.7e-05
164	945.482	9.7e-05
165	945.485	9.7e-05
166	945.477	9.7e-05
167	945.48	9.7e-05
168	945.491	9.7e-05
169	945.509	9.7e-05
170	945.487	9.7e-05
171	945.495	9.7e-05
172	945.492	9.7e-05
173	945.494	9.7e-05
174	945.498	9.7e-05
175	945.494	9.7e-05
176	945.514	9.7e-05
177	945.513	9.7e-05
178	945.528	9.7e-05
179	945.509	9.7e-05
180	945.511	9.7e-05
181	945.506	9.7e-05
182	945.507	9.7e-05
183	945.494	9.7e-05
184	945.505	9.7e-05
185	945.514	9.7e-05
186	945.501	9.7e-05
187	945.498	9.7e-05
188	945.501	9.7e-05
189	945.493	9.7e-05
190	945.492	9.7e-05
191	945.5	9.7e-05
192	945.496	9.7e-05
193	945.506	9.7e-05
194	945.517	9.7e-05
195	945.514	9.7e-05
196	945.51	9.7e-05
197	945.523	9.7e-05
198	945.501	9.7e-05
199	945.523	9.7e-05
200	945.499	9.7e-05
201	945.495	9.7e-05
202	945.522	9.7e-05
203	945.53	9.7e-05
204	945.517	9.7e-05
205	945.519	9.7e-05
206	945.511	9.7e-05
207	945.522	9.7e-05
208	945.511	9.7e-05
209	945.504	9.7e-05
210	945.505	9.7e-05
211	945.5	9.7e-05
212	945.5	9.7e-05
213	945.503	9.7e-05
214	945.493	9.7e-05
215	945.488	9.7e-05
216	945.498	9.7e-05
217	945.484	9.7e-05
218	945.486	9.7e-05
219	945.484	9.7e-05
220	945.492	9.7e-05
221	945.505	9.7e-05
222	945.462	9.7e-05
223	945.475	9.7e-05
224	945.49	9.7e-05
