V_sipm	I_sipm	R_rtd
0.01	-1.20478e-09	947.3301
0.02	-1.13946e-09	947.3367
0.03	-7.89726e-10	947.3204
0.04	-3.90649e-11	947.3468
0.05	-8.47101e-10	947.3237
0.06	-1.23377e-09	947.3197
0.07	-9.80556e-10	947.3263
0.08	-7.82776e-10	947.3202
0.09	-8.94499e-10	947.3126
0.1	-1.11147e-09	947.3054
0.11	-8.08406e-10	947.3184
0.12	-7.4513e-10	947.3094
0.13	-9.95219e-10	947.3051
0.14	3.83616e-11	947.3108
0.15	-1.20699e-09	947.327
0.16	-5.95427e-10	947.3107
0.17	-5.99647e-10	947.3076
0.18	-5.46706e-10	947.307
0.19	-7.60853e-10	947.3066
0.2	-3.78704e-10	947.3087
0.21	-6.48856e-11	947.3079
0.22	-3.56436e-12	947.3173
0.23	1.7252e-10	947.2923
0.24	6.80137e-10	947.3239
0.25	2.08304e-09	947.3098
0.26	1.97588e-09	947.3158
0.27	2.51954e-09	947.3233
0.28	3.76352e-09	947.3243
0.29	5.41959e-09	947.3344
0.3	7.22455e-09	947.3284
0.31	8.87575e-09	947.3301
0.32	1.29228e-08	947.3177
0.33	1.76682e-08	947.324
0.34	2.35219e-08	947.3032
0.35	3.13684e-08	947.3073
0.36	4.25223e-08	947.3186
0.37	5.70436e-08	947.3159
0.38	7.69614e-08	947.3144
0.39	1.05284e-07	947.2904
0.4	1.44202e-07	947.32
0.41	1.9859e-07	947.2982
0.42	2.75861e-07	947.3076
0.43	3.86568e-07	947.3132
0.44	5.45669e-07	947.3062
0.45	7.7757e-07	947.3036
0.46	1.11551e-06	947.2961
0.47	1.61485e-06	947.2836
0.48	2.35132e-06	947.2949
0.49	3.45065e-06	947.3139
0.5	5.08731e-06	947.3048
0.51	7.53571e-06	947.3015
0.52	1.1203e-05	947.2917
0.53	1.67041e-05	947.2978
0.54	2.49511e-05	947.3077
0.55	3.71709e-05	947.2908
0.56	5.52334e-05	947.2748
0.57	8.13727e-05	947.2969
0.58	0.000118777	947.2927
0.59	0.000170605	947.2852
0.6	0.000240769	947.275
0.61	0.000331783	947.2717
0.62	0.000446091	947.2763
0.63	0.000584884	947.2876
0.64	0.000746945	947.2865
0.65	0.000931978	947.285
0.66	0.00113687	947.2707
0.67	0.00136046	947.2695
0.68	0.00159946	947.2782
0.69	0.00185316	947.2561
0.7	0.00211813	947.2645
0.71	0.00239382	947.2415
0.72	0.00267979	947.2652
0.73	0.00297295	947.2481
0.74	0.00327401	947.2435
0.75	0.00358062	947.255
0.76	0.00389386	947.2582
0.77	0.00421099	947.2422
0.78	0.00453381	947.2433
0.79	0.00485959	947.2538
0.8	0.00519011	947.2413
0.81	0.00552288	947.2537
0.82	0.00585868	947.2228
0.83	0.00619844	947.2354
0.84	0.00653954	947.239
0.85	0.00688412	947.2252
0.86	0.00722967	947.2364
0.87	0.00757856	947.2245
0.88	0.00792791	947.2209
0.89	0.00828032	947.2332
0.9	0.0086331	947.2248
0.91	0.00898739	947.2315
0.92	0.0093441	947.2362
0.93	0.00970122	947.232
0.94	0.0100603	947.2198
0.95	0.0104195	947.239
0.96	0.0107809	947.2241
0.97	0.0111422	947.2224
0.98	0.0115055	947.2126
0.99	0.011868	947.2419
1.0	0.0122284	947.2172
