N	R	I
228	1080.42	9.7e-05
229	1080.41	9.7e-05
230	1080.42	9.7e-05
231	1080.43	9.7e-05
232	1080.42	9.7e-05
233	1080.42	9.7e-05
234	1080.41	9.7e-05
235	1080.42	9.7e-05
236	1080.44	9.7e-05
237	1080.42	9.7e-05
238	1080.43	9.7e-05
239	1080.43	9.7e-05
240	1080.42	9.7e-05
241	1080.42	9.7e-05
242	1080.42	9.7e-05
243	1080.42	9.7e-05
244	1080.43	9.7e-05
245	1080.42	9.7e-05
246	1080.39	9.7e-05
247	1080.41	9.7e-05
248	1080.41	9.7e-05
249	1080.41	9.7e-05
250	1080.42	9.7e-05
251	1080.41	9.7e-05
252	1080.45	9.7e-05
253	1080.45	9.7e-05
254	1080.42	9.7e-05
255	1080.44	9.7e-05
256	1080.41	9.7e-05
257	1080.42	9.7e-05
258	1080.4	9.7e-05
259	1080.4	9.7e-05
260	1080.41	9.7e-05
261	1080.4	9.7e-05
262	1080.39	9.7e-05
263	1080.4	9.7e-05
264	1080.41	9.7e-05
265	1080.41	9.7e-05
266	1080.41	9.7e-05
267	1080.43	9.7e-05
268	1080.42	9.7e-05
269	1080.44	9.7e-05
270	1080.41	9.7e-05
271	1080.42	9.7e-05
272	1080.42	9.7e-05
273	1080.42	9.7e-05
274	1080.43	9.7e-05
275	1080.42	9.7e-05
276	1080.43	9.7e-05
277	1080.43	9.7e-05
278	1080.45	9.7e-05
279	1080.44	9.7e-05
280	1080.43	9.7e-05
281	1080.43	9.7e-05
282	1080.42	9.7e-05
283	1080.42	9.7e-05
284	1080.42	9.7e-05
285	1080.42	9.7e-05
286	1080.4	9.7e-05
287	1080.41	9.7e-05
288	1080.4	9.7e-05
289	1080.4	9.7e-05
290	1080.44	9.7e-05
291	1080.43	9.7e-05
292	1080.44	9.7e-05
293	1080.43	9.7e-05
294	1080.42	9.7e-05
295	1080.43	9.7e-05
296	1080.42	9.7e-05
297	1080.4	9.7e-05
298	1080.41	9.7e-05
299	1080.4	9.7e-05
300	1080.43	9.7e-05
301	1080.4	9.7e-05
302	1080.42	9.7e-05
303	1080.43	9.7e-05
304	1080.45	9.7e-05
305	1080.44	9.7e-05
306	1080.43	9.7e-05
307	1080.43	9.7e-05
308	1080.44	9.7e-05
309	1080.42	9.7e-05
310	1080.43	9.7e-05
311	1080.42	9.7e-05
312	1080.43	9.7e-05
313	1080.44	9.7e-05
314	1080.43	9.7e-05
315	1080.42	9.7e-05
316	1080.42	9.7e-05
317	1080.43	9.7e-05
318	1080.39	9.7e-05
319	1080.4	9.7e-05
320	1080.43	9.7e-05
321	1080.43	9.7e-05
322	1080.41	9.7e-05
323	1080.42	9.7e-05
324	1080.45	9.7e-05
325	1080.43	9.7e-05
326	1080.44	9.7e-05
327	1080.4	9.7e-05
328	1080.42	9.7e-05
329	1080.41	9.7e-05
330	1080.41	9.7e-05
331	1080.45	9.7e-05
332	1080.42	9.7e-05
333	1080.4	9.7e-05
334	1080.43	9.7e-05
335	1080.41	9.7e-05
336	1080.41	9.7e-05
337	1080.43	9.7e-05
338	1080.44	9.7e-05
339	1080.39	9.7e-05
340	1080.43	9.7e-05
341	1080.43	9.7e-05
342	1080.43	9.7e-05
343	1080.43	9.7e-05
344	1080.44	9.7e-05
345	1080.42	9.7e-05
346	1080.43	9.7e-05
347	1080.44	9.7e-05
348	1080.43	9.7e-05
349	1080.43	9.7e-05
350	1080.45	9.7e-05
351	1080.46	9.7e-05
352	1080.43	9.7e-05
353	1080.42	9.7e-05
354	1080.42	9.7e-05
355	1080.42	9.7e-05
356	1080.44	9.7e-05
357	1080.4	9.7e-05
358	1080.42	9.7e-05
359	1080.42	9.7e-05
360	1080.4	9.7e-05
361	1080.43	9.7e-05
362	1080.43	9.7e-05
363	1080.43	9.7e-05
364	1080.46	9.7e-05
365	1080.45	9.7e-05
366	1080.44	9.7e-05
367	1080.41	9.7e-05
368	1080.45	9.7e-05
369	1080.43	9.7e-05
370	1080.44	9.7e-05
371	1080.44	9.7e-05
372	1080.45	9.7e-05
373	1080.44	9.7e-05
374	1080.43	9.7e-05
375	1080.45	9.7e-05
376	1080.45	9.7e-05
377	1080.46	9.7e-05
378	1080.43	9.7e-05
379	1080.44	9.7e-05
380	1080.45	9.7e-05
381	1080.47	9.7e-05
382	1080.47	9.7e-05
383	1080.48	9.7e-05
384	1080.49	9.7e-05
385	1080.48	9.7e-05
386	1080.44	9.7e-05
387	1080.46	9.7e-05
388	1080.45	9.7e-05
389	1080.46	9.7e-05
390	1080.44	9.7e-05
391	1080.46	9.7e-05
392	1080.48	9.7e-05
393	1080.48	9.7e-05
394	1080.47	9.7e-05
395	1080.45	9.7e-05
396	1080.47	9.7e-05
397	1080.47	9.7e-05
398	1080.44	9.7e-05
399	1080.44	9.7e-05
400	1080.43	9.7e-05
401	1080.45	9.7e-05
402	1080.44	9.7e-05
403	1080.45	9.7e-05
404	1080.46	9.7e-05
405	1080.43	9.7e-05
406	1080.44	9.7e-05
407	1080.45	9.7e-05
408	1080.43	9.7e-05
409	1080.43	9.7e-05
410	1080.4	9.7e-05
411	1080.42	9.7e-05
412	1080.42	9.7e-05
413	1080.43	9.7e-05
414	1080.42	9.7e-05
415	1080.45	9.7e-05
416	1080.44	9.7e-05
417	1080.41	9.7e-05
418	1080.43	9.7e-05
419	1080.43	9.7e-05
420	1080.41	9.7e-05
421	1080.42	9.7e-05
422	1080.41	9.7e-05
423	1080.43	9.7e-05
424	1080.44	9.7e-05
425	1080.45	9.7e-05
426	1080.4	9.7e-05
427	1080.42	9.7e-05
428	1080.42	9.7e-05
429	1080.42	9.7e-05
430	1080.4	9.7e-05
431	1080.42	9.7e-05
432	1080.42	9.7e-05
433	1080.4	9.7e-05
434	1080.44	9.7e-05
435	1080.44	9.7e-05
436	1080.43	9.7e-05
437	1080.44	9.7e-05
438	1080.42	9.7e-05
439	1080.41	9.7e-05
440	1080.42	9.7e-05
441	1080.43	9.7e-05
442	1080.42	9.7e-05
443	1080.45	9.7e-05
444	1080.45	9.7e-05
445	1080.42	9.7e-05
446	1080.42	9.7e-05
447	1080.43	9.7e-05
448	1080.42	9.7e-05
