V_sipm	I_sipm	R_rtd
0.01	-9.10676e-10	993.7479
0.02	-1.03272e-09	993.7417
0.03	-1.46412e-09	993.7501
0.04	-9.04989e-10	993.7417
0.05	-1.06319e-09	993.7514
0.06	-1.47011e-09	993.7347
0.07	-1.01835e-09	993.7324
0.08	-9.19986e-10	993.7457
0.09	-1.05916e-09	993.7321
0.1	-6.70362e-10	993.748
0.11	-8.69501e-10	993.7271
0.12	-1.05741e-09	993.7424
0.13	-1.5666e-09	993.7465
0.14	-7.60126e-10	993.7195
0.15	-9.74894e-10	993.726
0.16	-1.25101e-09	993.7297
0.17	-5.75113e-10	993.7322
0.18	-4.67002e-10	993.731
0.19	-6.90293e-10	993.7107
0.2	-4.88889e-10	993.7134
0.21	7.62153e-10	993.7293
0.22	1.8115e-10	993.7114
0.23	8.77202e-10	993.7083
0.24	1.72316e-09	993.7287
0.25	2.3774e-09	993.7124
0.26	3.15578e-09	993.7056
0.27	5.46871e-09	993.7171
0.28	7.15439e-09	993.7169
0.29	8.69372e-09	993.7137
0.3	1.3103e-08	993.7006
0.31	1.79829e-08	993.7079
0.32	2.39468e-08	993.7122
0.33	3.18783e-08	993.7095
0.34	4.26967e-08	993.6954
0.35	5.71847e-08	993.6933
0.36	7.63789e-08	993.7003
0.37	1.03321e-07	993.7086
0.38	1.40246e-07	993.7267
0.39	1.91545e-07	993.7275
0.4	2.6331e-07	993.7065
0.41	3.64317e-07	993.6935
0.42	5.07848e-07	993.7131
0.43	7.14168e-07	993.72
0.44	1.01076e-06	993.7158
0.45	1.44265e-06	993.7135
0.46	2.07084e-06	993.7136
0.47	2.99601e-06	993.7244
0.48	4.3533e-06	993.7194
0.49	6.36905e-06	993.7216
0.5	9.34285e-06	993.7244
0.51	1.37394e-05	993.7098
0.52	2.02855e-05	993.7045
0.53	2.99164e-05	993.6841
0.54	4.40871e-05	993.6894
0.55	6.46059e-05	993.6981
0.56	9.40816e-05	993.7192
0.57	0.000135293	993.7099
0.58	0.000191911	993.705
0.59	0.000266834	993.7113
0.6	0.000363356	993.692
0.61	0.000482565	993.6927
0.62	0.000625381	993.6968
0.63	0.000791818	993.6973
0.64	0.000979379	993.7115
0.65	0.00118773	993.7194
0.66	0.0014129	993.7024
0.67	0.00165417	993.6863
0.68	0.00190856	993.6967
0.69	0.00217581	993.7003
0.7	0.00245254	993.7071
0.71	0.00273847	993.6945
0.72	0.00303345	993.6853
0.73	0.00333462	993.6846
0.74	0.00364294	993.6899
0.75	0.00395614	993.6901
0.76	0.00427527	993.6799
0.77	0.00459784	993.6932
0.78	0.00492563	993.6884
0.79	0.00525628	993.6671
0.8	0.00559113	993.6898
0.81	0.00592787	993.6993
0.82	0.00626751	993.681
0.83	0.00661092	993.6698
0.84	0.00695541	993.7109
0.85	0.00730329	993.6871
0.86	0.0076524	993.6963
0.87	0.00800412	993.6863
0.88	0.00835632	993.69
0.89	0.00871181	993.6995
0.9	0.00906728	993.6978
0.91	0.00942441	993.6976
0.92	0.00978399	993.6929
0.93	0.0101428	993.6836
0.94	0.010505	993.6849
0.95	0.0108667	993.6929
0.96	0.0112307	993.6967
0.97	0.0115945	993.6799
0.98	0.0119604	993.6902
0.99	0.0123254	993.6991
1.0	0.0126884	993.6821
