time	R	I
0.0	989.96	9.7e-05
0.01	989.937	9.7e-05
0.02	989.946	9.7e-05
0.03	989.943	9.7e-05
0.04	989.949	9.7e-05
0.05	989.933	9.7e-05
0.06	989.93	9.7e-05
0.07	989.963	9.7e-05
0.08	989.976	9.7e-05
0.09	989.94	9.7e-05
0.1	989.933	9.7e-05
0.11	989.939	9.7e-05
0.12	989.932	9.7e-05
0.13	989.932	9.7e-05
0.14	989.938	9.7e-05
0.15	989.941	9.7e-05
0.16	989.943	9.7e-05
0.17	989.938	9.7e-05
0.18	989.917	9.7e-05
0.19	989.927	9.7e-05
0.2	989.929	9.7e-05
0.21	989.941	9.7e-05
0.22	989.961	9.7e-05
0.23	989.967	9.7e-05
0.24	989.931	9.7e-05
0.25	989.934	9.7e-05
0.26	989.935	9.7e-05
0.27	989.931	9.7e-05
0.28	989.945	9.7e-05
0.29	989.951	9.7e-05
0.3	989.95	9.7e-05
0.31	989.941	9.7e-05
0.32	989.947	9.7e-05
0.33	989.918	9.7e-05
0.34	989.919	9.7e-05
0.35	989.955	9.7e-05
0.36	989.943	9.7e-05
0.37	989.916	9.7e-05
0.38	989.916	9.7e-05
0.39	989.946	9.7e-05
0.4	989.924	9.7e-05
0.41	989.941	9.7e-05
0.42	989.929	9.7e-05
0.43	989.938	9.7e-05
0.44	989.94	9.7e-05
0.45	989.925	9.7e-05
0.46	989.94	9.7e-05
0.47	989.94	9.7e-05
0.48	989.949	9.7e-05
0.49	989.947	9.7e-05
0.5	989.934	9.7e-05
0.51	989.936	9.7e-05
0.52	989.922	9.7e-05
0.53	989.948	9.7e-05
0.54	989.977	9.7e-05
0.55	989.953	9.7e-05
0.56	989.945	9.7e-05
0.57	989.954	9.7e-05
0.58	989.957	9.7e-05
0.59	989.959	9.7e-05
0.6	989.943	9.7e-05
0.61	989.944	9.7e-05
0.62	989.957	9.7e-05
0.63	989.955	9.7e-05
0.64	989.971	9.7e-05
0.65	989.977	9.7e-05
0.66	989.973	9.7e-05
0.67	989.966	9.7e-05
0.68	989.989	9.7e-05
0.69	989.973	9.7e-05
0.7	989.977	9.7e-05
0.71	989.992	9.7e-05
0.72	989.985	9.7e-05
0.73	989.956	9.7e-05
0.74	989.975	9.7e-05
0.75	989.979	9.7e-05
0.76	989.98	9.7e-05
0.77	989.978	9.7e-05
0.78	989.99	9.7e-05
0.79	989.981	9.7e-05
0.8	989.982	9.7e-05
0.81	990.007	9.7e-05
0.82	990.007	9.7e-05
0.83	990.02	9.7e-05
0.84	990.001	9.7e-05
0.85	990.006	9.7e-05
0.86	990.01	9.7e-05
0.87	990.015	9.7e-05
0.88	990.004	9.7e-05
0.89	990.02	9.7e-05
0.9	990.011	9.7e-05
0.91	990.019	9.7e-05
0.92	990.028	9.7e-05
0.93	990.019	9.7e-05
0.94	990.018	9.7e-05
0.95	990.023	9.7e-05
0.96	990.006	9.7e-05
0.97	990.015	9.7e-05
0.98	990.045	9.7e-05
0.99	990.045	9.7e-05
