time	R	I
0.0	942.512	9.7e-05
0.01	942.489	9.7e-05
0.02	942.499	9.7e-05
0.03	942.499	9.7e-05
0.04	942.516	9.7e-05
0.05	942.506	9.7e-05
0.06	942.51	9.7e-05
0.07	942.522	9.7e-05
0.08	942.523	9.7e-05
0.09	942.496	9.7e-05
0.1	942.493	9.7e-05
0.11	942.487	9.7e-05
0.12	942.503	9.7e-05
0.13	942.485	9.7e-05
0.14	942.486	9.7e-05
0.15	942.507	9.7e-05
0.16	942.495	9.7e-05
0.17	942.487	9.7e-05
0.18	942.483	9.7e-05
0.19	942.475	9.7e-05
0.2	942.47	9.7e-05
0.21	942.481	9.7e-05
0.22	942.474	9.7e-05
0.23	942.497	9.7e-05
0.24	942.483	9.7e-05
0.25	942.494	9.7e-05
0.26	942.492	9.7e-05
0.27	942.462	9.7e-05
0.28	942.502	9.7e-05
0.29	942.474	9.7e-05
0.3	942.493	9.7e-05
0.31	942.475	9.7e-05
0.32	942.475	9.7e-05
0.33	942.458	9.7e-05
0.34	942.454	9.7e-05
0.35	942.47	9.7e-05
0.36	942.48	9.7e-05
0.37	942.486	9.7e-05
0.38	942.477	9.7e-05
0.39	942.497	9.7e-05
0.4	942.467	9.7e-05
0.41	942.463	9.7e-05
0.42	942.46	9.7e-05
0.43	942.475	9.7e-05
0.44	942.468	9.7e-05
0.45	942.474	9.7e-05
0.46	942.479	9.7e-05
0.47	942.473	9.7e-05
0.48	942.485	9.7e-05
0.49	942.474	9.7e-05
0.5	942.468	9.7e-05
0.51	942.46	9.7e-05
0.52	942.458	9.7e-05
0.53	942.465	9.7e-05
0.54	942.447	9.7e-05
0.55	942.448	9.7e-05
0.56	942.436	9.7e-05
0.57	942.436	9.7e-05
0.58	942.455	9.7e-05
0.59	942.446	9.7e-05
0.6	942.443	9.7e-05
0.61	942.429	9.7e-05
0.62	942.417	9.7e-05
0.63	942.441	9.7e-05
0.64	942.449	9.7e-05
0.65	942.447	9.7e-05
0.66	942.439	9.7e-05
0.67	942.434	9.7e-05
0.68	942.438	9.7e-05
0.69	942.443	9.7e-05
0.7	942.46	9.7e-05
0.71	942.431	9.7e-05
0.72	942.462	9.7e-05
0.73	942.436	9.7e-05
0.74	942.445	9.7e-05
0.75	942.418	9.7e-05
0.76	942.443	9.7e-05
0.77	942.436	9.7e-05
0.78	942.439	9.7e-05
0.79	942.455	9.7e-05
0.8	942.442	9.7e-05
0.81	942.44	9.7e-05
0.82	942.447	9.7e-05
0.83	942.42	9.7e-05
0.84	942.455	9.7e-05
0.85	942.424	9.7e-05
0.86	942.448	9.7e-05
0.87	942.471	9.7e-05
0.88	942.46	9.7e-05
0.89	942.466	9.7e-05
0.9	942.456	9.7e-05
0.91	942.463	9.7e-05
0.92	942.467	9.7e-05
0.93	942.459	9.7e-05
0.94	942.474	9.7e-05
0.95	942.457	9.7e-05
0.96	942.455	9.7e-05
0.97	942.462	9.7e-05
0.98	942.477	9.7e-05
0.99	942.466	9.7e-05
