V	I
0.0	2.02656e-07
0.01	-6.91414e-07
0.02	-5.00679e-07
0.03	-5.84126e-07
0.04	-6.07967e-07
0.05	-5.24521e-07
0.06	-5.72205e-07
0.07	-5.84126e-07
0.08	-5.96046e-07
0.09	-5.48363e-07
0.1	-1.44243e-06
0.11	-4.64916e-07
0.12	-5.60284e-07
0.13	-5.60284e-07
0.14	-5.00679e-07
0.15	-5.24521e-07
0.16	-6.31809e-07
0.17	-6.79493e-07
0.18	-6.07967e-07
0.19	-5.24521e-07
0.2	-7.98702e-07
0.21	-5.84126e-07
0.22	-4.76837e-07
0.23	-5.96046e-07
0.24	-5.96046e-07
0.25	-4.88758e-07
0.26	-5.36442e-07
0.27	-4.64916e-07
0.28	-4.76837e-07
0.29	-4.52995e-07
0.3	-5.126e-07
0.31	-3.57628e-07
0.32	-2.6226e-07
0.33	-2.6226e-07
0.34	-4.76837e-08
0.35	-5.96046e-08
0.36	1.66893e-07
0.37	4.88758e-07
0.38	7.98702e-07
0.39	1.27554e-06
0.4	1.93119e-06
0.41	2.95639e-06
0.42	4.47035e-06
0.43	6.41346e-06
0.44	9.54866e-06
0.45	1.35541e-05
0.46	1.93357e-05
0.47	2.75373e-05
0.48	3.93033e-05
0.49	5.57661e-05
0.5	7.88093e-05
0.51	0.000110567
0.52	0.00015353
0.53	0.000211108
0.54	0.000285625
0.55	0.000379944
0.56	0.000495517
0.57	0.000633395
0.58	0.000794327
0.59	0.000976181
0.6	0.00117813
0.61	0.00139951
0.62	0.00163692
0.63	0.00188897
0.64	0.00215557
0.65	0.00243293
0.66	0.00272068
0.67	0.00301882
0.68	0.00332425
0.69	0.00363686
0.7	0.00395739
0.71	0.00428271
0.72	0.0046134
0.73	0.00495003
0.74	0.00528988
0.75	0.00563374
0.76	0.00598284
0.77	0.00633379
0.78	0.00668786
0.79	0.00704632
0.8	0.00740616
0.81	0.00776957
0.82	0.00813415
0.83	0.00850098
0.84	0.00887111
0.85	0.00924183
0.86	0.00961437
0.87	0.00999007
0.88	0.0103658
0.89	0.010743
0.9	0.0111231
0.91	0.0115032
0.92	0.0118845
0.93	0.0122687
0.94	0.0126529
0.95	0.0130377
0.96	0.0134253
0.97	0.0138123
0.98	0.0142007
0.99	0.0145911
