V	I
0.0	0.0
0.01	-7.15256e-07
0.02	-6.4373e-07
0.03	-6.4373e-07
0.04	-6.79493e-07
0.05	-6.79493e-07
0.06	-6.4373e-07
0.07	-6.67572e-07
0.08	-6.67572e-07
0.09	-7.51019e-07
0.1	-1.54972e-06
0.11	-6.4373e-07
0.12	-7.15256e-07
0.13	-5.96046e-07
0.14	-6.67572e-07
0.15	-5.96046e-07
0.16	-6.55651e-07
0.17	-6.67572e-07
0.18	-6.67572e-07
0.19	-6.79493e-07
0.2	-9.29832e-07
0.21	-6.4373e-07
0.22	-6.4373e-07
0.23	-7.03335e-07
0.24	-5.72205e-07
0.25	-5.96046e-07
0.26	-5.60284e-07
0.27	-5.00679e-07
0.28	-4.29153e-07
0.29	-4.05312e-07
0.3	-3.8147e-07
0.31	-2.02656e-07
0.32	-8.34465e-08
0.33	1.19209e-07
0.34	3.69549e-07
0.35	8.46386e-07
0.36	1.35899e-06
0.37	2.0504e-06
0.38	3.12328e-06
0.39	4.41074e-06
0.4	6.38962e-06
0.41	9.4533e-06
0.42	1.33395e-05
0.43	1.86324e-05
0.44	2.62618e-05
0.45	3.69787e-05
0.46	5.19156e-05
0.47	7.25031e-05
0.48	0.000100732
0.49	0.000138783
0.5	0.000189507
0.51	0.00025543
0.52	0.000338769
0.53	0.000442398
0.54	0.000566828
0.55	0.000713384
0.56	0.000880849
0.57	0.00106874
0.58	0.00127672
0.59	0.00150145
0.6	0.0017419
0.61	0.00199775
0.62	0.00226532
0.63	0.00254428
0.64	0.00283442
0.65	0.00313251
0.66	0.00343871
0.67	0.00375341
0.68	0.00407363
0.69	0.00439942
0.7	0.00473186
0.71	0.00506802
0.72	0.00540839
0.73	0.00575421
0.74	0.00610241
0.75	0.00645411
0.76	0.00681036
0.77	0.00716798
0.78	0.00752851
0.79	0.0078932
0.8	0.00825859
0.81	0.0086277
0.82	0.00899742
0.83	0.00936923
0.84	0.00974402
0.85	0.0101195
0.86	0.0104965
0.87	0.0108765
0.88	0.0112567
0.89	0.0116381
0.9	0.0120224
0.91	0.0124065
0.92	0.012792
0.93	0.0131798
0.94	0.0135677
0.95	0.0139563
0.96	0.0143476
0.97	0.0147382
0.98	0.0151301
0.99	0.0155241
