V	I
0.0	-9.53674e-08
0.01	-6.55651e-07
0.02	-7.03335e-07
0.03	-6.79493e-07
0.04	-6.79493e-07
0.05	-6.4373e-07
0.06	-6.07967e-07
0.07	-6.07967e-07
0.08	-7.03335e-07
0.09	-5.84126e-07
0.1	-1.51396e-06
0.11	-6.07967e-07
0.12	-7.27177e-07
0.13	-6.91414e-07
0.14	-6.67572e-07
0.15	-5.96046e-07
0.16	-7.15256e-07
0.17	-7.15256e-07
0.18	-6.31809e-07
0.19	-6.19888e-07
0.2	-8.70228e-07
0.21	-6.67572e-07
0.22	-5.84126e-07
0.23	-5.72205e-07
0.24	-6.55651e-07
0.25	-5.60284e-07
0.26	-4.76837e-07
0.27	-5.24521e-07
0.28	-5.36442e-07
0.29	-5.00679e-07
0.3	-5.00679e-07
0.31	-3.93391e-07
0.32	-2.86102e-07
0.33	-1.90735e-07
0.34	-2.38419e-08
0.35	1.66893e-07
0.36	5.36442e-07
0.37	8.58307e-07
0.38	1.41859e-06
0.39	2.22921e-06
0.4	3.43323e-06
0.41	4.91142e-06
0.42	7.4625e-06
0.43	1.05619e-05
0.44	1.49012e-05
0.45	2.11716e-05
0.46	3.00527e-05
0.47	4.25816e-05
0.48	6.00338e-05
0.49	8.41498e-05
0.5	0.000117362
0.51	0.000161898
0.52	0.000220883
0.53	0.000297189
0.54	0.000392735
0.55	0.000509775
0.56	0.000648403
0.57	0.000809097
0.58	0.000991666
0.59	0.0011932
0.6	0.00141343
0.61	0.00165118
0.62	0.00190258
0.63	0.00216745
0.64	0.00244492
0.65	0.0027325
0.66	0.00302874
0.67	0.00333437
0.68	0.00364676
0.69	0.00396551
0.7	0.00429173
0.71	0.00462179
0.72	0.00495716
0.73	0.00529796
0.74	0.00564162
0.75	0.00598907
0.76	0.0063414
0.77	0.00669559
0.78	0.00705248
0.79	0.00741386
0.8	0.00777622
0.81	0.00814238
0.82	0.00850923
0.83	0.00887848
0.84	0.00925071
0.85	0.00962358
0.86	0.00999799
0.87	0.0103758
0.88	0.0107535
0.89	0.0111326
0.9	0.0115146
0.91	0.0118964
0.92	0.0122798
0.93	0.0126656
0.94	0.0130513
0.95	0.0134381
0.96	0.0138272
0.97	0.014216
0.98	0.014606
0.99	0.014998
