V	I
0.0	4.76837e-08
0.01	-8.70228e-07
0.02	-7.15256e-07
0.03	-5.84126e-07
0.04	-7.39098e-07
0.05	-6.55651e-07
0.06	-6.4373e-07
0.07	-6.67572e-07
0.08	-7.7486e-07
0.09	-6.91414e-07
0.1	-1.56164e-06
0.11	-5.96046e-07
0.12	-6.31809e-07
0.13	-6.79493e-07
0.14	-5.60284e-07
0.15	-6.31809e-07
0.16	-5.96046e-07
0.17	-5.72205e-07
0.18	-6.55651e-07
0.19	-5.84126e-07
0.2	-7.62939e-07
0.21	-5.126e-07
0.22	-5.84126e-07
0.23	-5.48363e-07
0.24	-4.88758e-07
0.25	-6.91414e-07
0.26	-6.55651e-07
0.27	-6.19888e-07
0.28	-6.07967e-07
0.29	-6.31809e-07
0.3	-7.15256e-07
0.31	-5.72205e-07
0.32	-5.96046e-07
0.33	-6.07967e-07
0.34	-5.60284e-07
0.35	-5.72205e-07
0.36	-6.31809e-07
0.37	-4.88758e-07
0.38	-4.05312e-07
0.39	-4.52995e-07
0.4	-3.33786e-07
0.41	-2.86102e-07
0.42	-1.19209e-07
0.43	1.3113e-07
0.44	3.93391e-07
0.45	8.70228e-07
0.46	1.52588e-06
0.47	2.41995e-06
0.48	3.68357e-06
0.49	5.62668e-06
0.5	8.82149e-06
0.51	1.29819e-05
0.52	1.91927e-05
0.53	2.82884e-05
0.54	4.16756e-05
0.55	6.1059e-05
0.56	8.86321e-05
0.57	0.000127602
0.58	0.000181425
0.59	0.000253379
0.6	0.000346363
0.61	0.000463235
0.62	0.000603986
0.63	0.000769067
0.64	0.000957823
0.65	0.00116727
0.66	0.00139565
0.67	0.00164187
0.68	0.00190222
0.69	0.00217566
0.7	0.00246145
0.71	0.00275631
0.72	0.00306005
0.73	0.00337262
0.74	0.00369061
0.75	0.004015
0.76	0.00434637
0.77	0.00468123
0.78	0.00502063
0.79	0.00536547
0.8	0.00571244
0.81	0.00606413
0.82	0.00641755
0.83	0.00677384
0.84	0.0071341
0.85	0.0074953
0.86	0.00785893
0.87	0.008226
0.88	0.00859368
0.89	0.00896298
0.9	0.00933554
0.91	0.00970814
0.92	0.0100824
0.93	0.0104594
0.94	0.0108364
0.95	0.0112149
0.96	0.0115957
0.97	0.0119764
0.98	0.0123584
0.99	0.0127425
