V	I
0.0	-1.19209e-08
0.01	-8.10623e-07
0.02	-7.7486e-07
0.03	-7.27177e-07
0.04	-7.86781e-07
0.05	-7.15256e-07
0.06	-6.31809e-07
0.07	-5.84126e-07
0.08	-8.10623e-07
0.09	-6.79493e-07
0.1	-1.56164e-06
0.11	-6.31809e-07
0.12	-5.96046e-07
0.13	-5.96046e-07
0.14	-6.67572e-07
0.15	-6.31809e-07
0.16	-6.67572e-07
0.17	-6.31809e-07
0.18	-6.79493e-07
0.19	-6.31809e-07
0.2	-8.58307e-07
0.21	-6.31809e-07
0.22	-6.67572e-07
0.23	-5.36442e-07
0.24	-4.41074e-07
0.25	-5.60284e-07
0.26	-4.76837e-07
0.27	-3.45707e-07
0.28	-3.09944e-07
0.29	-1.78814e-07
0.3	-1.66893e-07
0.31	9.53674e-08
0.32	4.29153e-07
0.33	6.91414e-07
0.34	1.21593e-06
0.35	1.80006e-06
0.36	2.67029e-06
0.37	3.88622e-06
0.38	5.61476e-06
0.39	8.33273e-06
0.4	1.17064e-05
0.41	1.63198e-05
0.42	2.28524e-05
0.43	3.196e-05
0.44	4.46677e-05
0.45	6.20484e-05
0.46	8.58784e-05
0.47	0.000118208
0.48	0.000161207
0.49	0.000217581
0.5	0.000290024
0.51	0.000380218
0.52	0.000490487
0.53	0.000622201
0.54	0.000774729
0.55	0.000948739
0.56	0.00114182
0.57	0.00135328
0.58	0.00158249
0.59	0.00182643
0.6	0.00208379
0.61	0.00235477
0.62	0.00263559
0.63	0.00292608
0.64	0.00322684
0.65	0.0035345
0.66	0.00384897
0.67	0.00417092
0.68	0.00449774
0.69	0.00483004
0.7	0.00516806
0.71	0.00550927
0.72	0.00585459
0.73	0.00620483
0.74	0.00655704
0.75	0.00691273
0.76	0.00727258
0.77	0.00763383
0.78	0.00799747
0.79	0.00836521
0.8	0.0087337
0.81	0.00910559
0.82	0.00947807
0.83	0.00985281
0.84	0.0102303
0.85	0.010608
0.86	0.0109873
0.87	0.0113698
0.88	0.0117523
0.89	0.0121358
0.9	0.0125223
0.91	0.0129085
0.92	0.0132959
0.93	0.0136858
0.94	0.0140757
0.95	0.0144663
0.96	0.0148594
0.97	0.0152523
0.98	0.015646
0.99	0.0160421
