V	I
0.0	1.19209e-07
0.01	-5.48363e-07
0.02	-4.76837e-07
0.03	-5.24521e-07
0.04	-5.72205e-07
0.05	-4.64916e-07
0.06	-5.126e-07
0.07	-4.88758e-07
0.08	-6.79493e-07
0.09	-5.36442e-07
0.1	-1.35899e-06
0.11	-4.76837e-07
0.12	-5.48363e-07
0.13	-5.126e-07
0.14	-4.76837e-07
0.15	-5.72205e-07
0.16	-5.60284e-07
0.17	-5.00679e-07
0.18	-5.96046e-07
0.19	-4.64916e-07
0.2	-7.51019e-07
0.21	-5.36442e-07
0.22	-4.76837e-07
0.23	-4.52995e-07
0.24	-4.29153e-07
0.25	-4.29153e-07
0.26	-5.126e-07
0.27	-4.64916e-07
0.28	-4.76837e-07
0.29	-4.52995e-07
0.3	-4.41074e-07
0.31	-4.17233e-07
0.32	-3.45707e-07
0.33	-3.57628e-07
0.34	-2.86102e-07
0.35	-2.38419e-07
0.36	-1.54972e-07
0.37	2.38419e-08
0.38	2.14577e-07
0.39	4.41074e-07
0.4	7.27177e-07
0.41	1.14441e-06
0.42	1.80006e-06
0.43	2.67029e-06
0.44	4.01735e-06
0.45	5.80549e-06
0.46	8.72612e-06
0.47	1.26243e-05
0.48	1.80602e-05
0.49	2.59995e-05
0.5	3.74436e-05
0.51	5.36561e-05
0.52	7.66397e-05
0.53	0.000108707
0.54	0.000152528
0.55	0.000211549
0.56	0.000288308
0.57	0.000385582
0.58	0.000505793
0.59	0.000648725
0.6	0.000814545
0.61	0.00100285
0.62	0.00121064
0.63	0.00143719
0.64	0.00168082
0.65	0.00193856
0.66	0.00220914
0.67	0.00249205
0.68	0.00278422
0.69	0.00308537
0.7	0.00339552
0.71	0.00371169
0.72	0.00403383
0.73	0.00436311
0.74	0.00469629
0.75	0.00503403
0.76	0.0053775
0.77	0.00572351
0.78	0.0060727
0.79	0.00642694
0.8	0.00678259
0.81	0.00714225
0.82	0.00750338
0.83	0.00786694
0.84	0.00823374
0.85	0.00860144
0.86	0.00897117
0.87	0.0093438
0.88	0.00971667
0.89	0.0100914
0.9	0.0104691
0.91	0.0108467
0.92	0.0112259
0.93	0.0116076
0.94	0.0119895
0.95	0.0123722
0.96	0.0127573
0.97	0.0131425
0.98	0.0135289
0.99	0.0139171
