V	I
0.0	9.53674e-08
0.01	-5.96046e-07
0.02	-5.60284e-07
0.03	-5.48363e-07
0.04	-7.03335e-07
0.05	-6.79493e-07
0.06	-6.07967e-07
0.07	-6.19888e-07
0.08	-7.27177e-07
0.09	-6.07967e-07
0.1	-1.51396e-06
0.11	-5.36442e-07
0.12	-6.4373e-07
0.13	-5.36442e-07
0.14	-5.126e-07
0.15	-5.24521e-07
0.16	-5.24521e-07
0.17	-5.126e-07
0.18	-6.31809e-07
0.19	-5.36442e-07
0.2	-7.98702e-07
0.21	-5.60284e-07
0.22	-5.48363e-07
0.23	-5.96046e-07
0.24	-5.60284e-07
0.25	-6.67572e-07
0.26	-5.72205e-07
0.27	-5.72205e-07
0.28	-5.24521e-07
0.29	-5.126e-07
0.3	-7.39098e-07
0.31	-6.55651e-07
0.32	-5.72205e-07
0.33	-5.96046e-07
0.34	-5.24521e-07
0.35	-5.60284e-07
0.36	-5.84126e-07
0.37	-4.76837e-07
0.38	-5.96046e-07
0.39	-6.07967e-07
0.4	-5.72205e-07
0.41	-5.48363e-07
0.42	-4.76837e-07
0.43	-4.52995e-07
0.44	-4.41074e-07
0.45	-4.88758e-07
0.46	-4.05312e-07
0.47	-4.29153e-07
0.48	-3.33786e-07
0.49	-2.6226e-07
0.5	-1.3113e-07
0.51	5.96046e-08
0.52	3.33786e-07
0.53	8.22544e-07
0.54	1.41859e-06
0.55	2.52724e-06
0.56	4.06504e-06
0.57	6.52075e-06
0.58	1.04666e-05
0.59	1.61767e-05
0.6	2.51412e-05
0.61	3.88742e-05
0.62	5.95689e-05
0.63	9.04799e-05
0.64	0.000135779
0.65	0.000199306
0.66	0.000285566
0.67	0.000397944
0.68	0.000536966
0.69	0.000702739
0.7	0.000894034
0.71	0.00110762
0.72	0.00134107
0.73	0.00159239
0.74	0.00185786
0.75	0.00213611
0.76	0.00242648
0.77	0.00272522
0.78	0.00303211
0.79	0.00334735
0.8	0.00366774
0.81	0.00399476
0.82	0.00432575
0.83	0.00466124
0.84	0.00500166
0.85	0.00534436
0.86	0.00569032
0.87	0.00604059
0.88	0.00639215
0.89	0.00674613
0.9	0.00710368
0.91	0.00746205
0.92	0.00782237
0.93	0.00818588
0.94	0.00854991
0.95	0.00891525
0.96	0.00928342
0.97	0.00965157
0.98	0.0100214
0.99	0.0103935
