V	I
0.0	1.07288e-07
0.01	-6.91414e-07
0.02	-6.07967e-07
0.03	-6.4373e-07
0.04	-6.67572e-07
0.05	-5.36442e-07
0.06	-6.4373e-07
0.07	-6.07967e-07
0.08	-6.79493e-07
0.09	-5.48363e-07
0.1	-1.49012e-06
0.11	-5.72205e-07
0.12	-6.07967e-07
0.13	-6.31809e-07
0.14	-6.19888e-07
0.15	-5.60284e-07
0.16	-7.03335e-07
0.17	-7.03335e-07
0.18	-7.15256e-07
0.19	-6.31809e-07
0.2	-8.9407e-07
0.21	-6.31809e-07
0.22	-6.31809e-07
0.23	-5.24521e-07
0.24	-5.36442e-07
0.25	-5.60284e-07
0.26	-6.31809e-07
0.27	-5.84126e-07
0.28	-6.67572e-07
0.29	-5.60284e-07
0.3	-6.79493e-07
0.31	-4.76837e-07
0.32	-5.126e-07
0.33	-5.60284e-07
0.34	-5.36442e-07
0.35	-4.64916e-07
0.36	-6.07967e-07
0.37	-5.00679e-07
0.38	-5.72205e-07
0.39	-4.88758e-07
0.4	-4.64916e-07
0.41	-5.126e-07
0.42	-4.17233e-07
0.43	-3.93391e-07
0.44	-2.5034e-07
0.45	-3.57628e-08
0.46	1.43051e-07
0.47	5.24521e-07
0.48	9.53674e-07
0.49	1.69277e-06
0.5	2.68221e-06
0.51	4.13656e-06
0.52	6.38962e-06
0.53	9.91821e-06
0.54	1.50561e-05
0.55	2.23756e-05
0.56	3.34263e-05
0.57	4.99725e-05
0.58	7.38859e-05
0.59	0.000108373
0.6	0.000156713
0.61	0.000223362
0.62	0.000310779
0.63	0.000422156
0.64	0.000559032
0.65	0.000720823
0.66	0.00090636
0.67	0.00111469
0.68	0.0013422
0.69	0.00158694
0.7	0.00184792
0.71	0.00212107
0.72	0.00240583
0.73	0.0027016
0.74	0.00300519
0.75	0.00331646
0.76	0.00363572
0.77	0.00396006
0.78	0.00428956
0.79	0.0046253
0.8	0.00496399
0.81	0.00530785
0.82	0.00565422
0.83	0.00600379
0.84	0.00635751
0.85	0.00671254
0.86	0.00707016
0.87	0.00743164
0.88	0.00779384
0.89	0.00815784
0.9	0.00852515
0.91	0.00889303
0.92	0.00926256
0.93	0.00963472
0.94	0.0100073
0.95	0.010381
0.96	0.0107575
0.97	0.0111338
0.98	0.0115112
0.99	0.0118913
