V	I
0.0	9.53674e-08
0.01	-6.55651e-07
0.02	-6.07967e-07
0.03	-5.36442e-07
0.04	-6.31809e-07
0.05	-5.36442e-07
0.06	-5.96046e-07
0.07	-6.07967e-07
0.08	-5.72205e-07
0.09	-5.96046e-07
0.1	-1.5378e-06
0.11	-5.48363e-07
0.12	-6.55651e-07
0.13	-6.07967e-07
0.14	-5.24521e-07
0.15	-5.24521e-07
0.16	-5.96046e-07
0.17	-5.96046e-07
0.18	-5.36442e-07
0.19	-6.19888e-07
0.2	-9.17912e-07
0.21	-5.96046e-07
0.22	-5.84126e-07
0.23	-6.19888e-07
0.24	-5.126e-07
0.25	-5.48363e-07
0.26	-5.84126e-07
0.27	-5.84126e-07
0.28	-5.96046e-07
0.29	-5.24521e-07
0.3	-5.72205e-07
0.31	-5.00679e-07
0.32	-4.88758e-07
0.33	-4.29153e-07
0.34	-5.60284e-07
0.35	-4.29153e-07
0.36	-4.52995e-07
0.37	-3.93391e-07
0.38	-2.6226e-07
0.39	-9.53674e-08
0.4	3.57628e-08
0.41	3.09944e-07
0.42	6.07967e-07
0.43	1.13249e-06
0.44	1.62125e-06
0.45	2.61068e-06
0.46	3.92199e-06
0.47	5.88894e-06
0.48	8.96454e-06
0.49	1.30534e-05
0.5	1.90854e-05
0.51	2.76923e-05
0.52	4.0257e-05
0.53	5.82457e-05
0.54	8.38518e-05
0.55	0.000119877
0.56	0.000168848
0.57	0.000234711
0.58	0.000320363
0.59	0.000428009
0.6	0.000558937
0.61	0.000714266
0.62	0.000892067
0.63	0.00109131
0.64	0.00131117
0.65	0.00154819
0.66	0.00180037
0.67	0.00206728
0.68	0.00234594
0.69	0.00263474
0.7	0.0029341
0.71	0.00324092
0.72	0.00355499
0.73	0.00387671
0.74	0.00420315
0.75	0.00453495
0.76	0.00487288
0.77	0.00521369
0.78	0.00555838
0.79	0.00590823
0.8	0.00625978
0.81	0.00661577
0.82	0.00697321
0.83	0.00733352
0.84	0.00769706
0.85	0.00806174
0.86	0.00842857
0.87	0.00879883
0.88	0.00916922
0.89	0.00954102
0.9	0.00991637
0.91	0.0102916
0.92	0.0106684
0.93	0.0110479
0.94	0.0114276
0.95	0.0118079
0.96	0.0121912
0.97	0.0125742
0.98	0.0129584
0.99	0.0133447
