V	I
0.0	1.19209e-07
0.01	-6.91414e-07
0.02	-7.51019e-07
0.03	-6.79493e-07
0.04	-5.96046e-07
0.05	-6.4373e-07
0.06	-5.96046e-07
0.07	-5.84126e-07
0.08	-6.91414e-07
0.09	-6.4373e-07
0.1	-1.49012e-06
0.11	-5.72205e-07
0.12	-6.4373e-07
0.13	-5.48363e-07
0.14	-6.31809e-07
0.15	-5.72205e-07
0.16	-6.31809e-07
0.17	-5.72205e-07
0.18	-5.72205e-07
0.19	-5.24521e-07
0.2	-8.82149e-07
0.21	-6.31809e-07
0.22	-6.19888e-07
0.23	-6.19888e-07
0.24	-5.84126e-07
0.25	-5.96046e-07
0.26	-5.36442e-07
0.27	-5.36442e-07
0.28	-5.36442e-07
0.29	-5.126e-07
0.3	-5.84126e-07
0.31	-5.60284e-07
0.32	-3.8147e-07
0.33	-3.57628e-07
0.34	-3.69549e-07
0.35	-3.69549e-07
0.36	-2.14577e-07
0.37	-5.96046e-08
0.38	0.0
0.39	2.6226e-07
0.4	6.31809e-07
0.41	1.15633e-06
0.42	1.78814e-06
0.43	2.7895e-06
0.44	4.14848e-06
0.45	6.17504e-06
0.46	9.17912e-06
0.47	1.32561e-05
0.48	1.90973e-05
0.49	2.73705e-05
0.5	3.95179e-05
0.51	5.65648e-05
0.52	8.05855e-05
0.53	0.000114167
0.54	0.000159693
0.55	0.000220978
0.56	0.000300062
0.57	0.000400031
0.58	0.000522769
0.59	0.000668204
0.6	0.000836289
0.61	0.00102684
0.62	0.00123658
0.63	0.00146439
0.64	0.00170939
0.65	0.0019681
0.66	0.00223926
0.67	0.00252279
0.68	0.00281541
0.69	0.00311639
0.7	0.00342673
0.71	0.00374271
0.72	0.0040652
0.73	0.00439414
0.74	0.00472701
0.75	0.00506454
0.76	0.00540773
0.77	0.00575336
0.78	0.0061021
0.79	0.00645574
0.8	0.00681093
0.81	0.00717007
0.82	0.00753055
0.83	0.00789361
0.84	0.00825965
0.85	0.00862674
0.86	0.00899584
0.87	0.00936793
0.88	0.00974032
0.89	0.0101143
0.9	0.0104914
0.91	0.0108684
0.92	0.0112468
0.93	0.0116278
0.94	0.0120089
0.95	0.0123909
0.96	0.0127756
0.97	0.0131599
0.98	0.0135454
0.99	0.0139329
