V	I
0.0	4.76837e-08
0.01	-6.4373e-07
0.02	-5.96046e-07
0.03	-5.60284e-07
0.04	-6.19888e-07
0.05	-5.48363e-07
0.06	-5.96046e-07
0.07	-5.24521e-07
0.08	-5.60284e-07
0.09	-5.96046e-07
0.1	-1.4782e-06
0.11	-5.00679e-07
0.12	-6.19888e-07
0.13	-6.19888e-07
0.14	-7.27177e-07
0.15	-5.84126e-07
0.16	-6.19888e-07
0.17	-5.96046e-07
0.18	-6.31809e-07
0.19	-5.48363e-07
0.2	-9.05991e-07
0.21	-6.55651e-07
0.22	-5.72205e-07
0.23	-5.96046e-07
0.24	-5.84126e-07
0.25	-5.84126e-07
0.26	-5.72205e-07
0.27	-5.48363e-07
0.28	-6.4373e-07
0.29	-5.72205e-07
0.3	-7.03335e-07
0.31	-5.72205e-07
0.32	-5.126e-07
0.33	-4.88758e-07
0.34	-4.52995e-07
0.35	-4.64916e-07
0.36	-3.8147e-07
0.37	-2.98023e-07
0.38	-2.02656e-07
0.39	-2.38419e-08
0.4	1.78814e-07
0.41	5.24521e-07
0.42	9.05991e-07
0.43	1.62125e-06
0.44	2.5034e-06
0.45	3.74317e-06
0.46	5.49555e-06
0.47	8.30889e-06
0.48	1.21593e-05
0.49	1.76072e-05
0.5	2.55227e-05
0.51	3.68237e-05
0.52	5.33223e-05
0.53	7.66158e-05
0.54	0.000109184
0.55	0.000154126
0.56	0.000214338
0.57	0.000293112
0.58	0.000393343
0.59	0.000516021
0.6	0.00066222
0.61	0.000832319
0.62	0.00102366
0.63	0.00123515
0.64	0.00146577
0.65	0.00171212
0.66	0.00197276
0.67	0.00224693
0.68	0.0025316
0.69	0.00282576
0.7	0.00313005
0.71	0.00344086
0.72	0.00375884
0.73	0.00408378
0.74	0.00441314
0.75	0.00474762
0.76	0.00508779
0.77	0.00543085
0.78	0.00577763
0.79	0.00612942
0.8	0.00648282
0.81	0.00684035
0.82	0.00719924
0.83	0.0075609
0.84	0.00792599
0.85	0.00829172
0.86	0.00865969
0.87	0.00903071
0.88	0.00940229
0.89	0.0097755
0.9	0.0101517
0.91	0.0105281
0.92	0.0109057
0.93	0.0112861
0.94	0.0116665
0.95	0.012048
0.96	0.0124321
0.97	0.012816
0.98	0.0132009
0.99	0.0135881
