V	I
0.0	8.34465e-08
0.01	-6.31809e-07
0.02	-5.96046e-07
0.03	-5.60284e-07
0.04	-6.79493e-07
0.05	-5.72205e-07
0.06	-6.67572e-07
0.07	-5.00679e-07
0.08	-6.55651e-07
0.09	-5.72205e-07
0.1	-1.45435e-06
0.11	-7.03335e-07
0.12	-7.39098e-07
0.13	-6.4373e-07
0.14	-6.31809e-07
0.15	-6.31809e-07
0.16	-7.03335e-07
0.17	-6.07967e-07
0.18	-7.27177e-07
0.19	-6.91414e-07
0.2	-8.82149e-07
0.21	-6.31809e-07
0.22	-5.96046e-07
0.23	-6.4373e-07
0.24	-5.36442e-07
0.25	-5.96046e-07
0.26	-5.24521e-07
0.27	-5.24521e-07
0.28	-6.91414e-07
0.29	-5.60284e-07
0.3	-6.07967e-07
0.31	-4.29153e-07
0.32	-4.76837e-07
0.33	-3.09944e-07
0.34	-2.86102e-07
0.35	-1.19209e-07
0.36	-4.76837e-08
0.37	3.57628e-08
0.38	4.88758e-07
0.39	7.15256e-07
0.4	1.40667e-06
0.41	2.13385e-06
0.42	3.20673e-06
0.43	4.80413e-06
0.44	7.20024e-06
0.45	1.0407e-05
0.46	1.49965e-05
0.47	2.13861e-05
0.48	3.04818e-05
0.49	4.36187e-05
0.5	6.21557e-05
0.51	8.78811e-05
0.52	0.000123239
0.53	0.000171399
0.54	0.000234902
0.55	0.000316894
0.56	0.000419331
0.57	0.000543833
0.58	0.0006917
0.59	0.000861406
0.6	0.00105228
0.61	0.00126368
0.62	0.00149219
0.63	0.00173658
0.64	0.00199633
0.65	0.00226792
0.66	0.00255042
0.67	0.00284404
0.68	0.00314548
0.69	0.00345458
0.7	0.00377202
0.71	0.00409456
0.72	0.00442282
0.73	0.00475718
0.74	0.00509493
0.75	0.00543714
0.76	0.00578446
0.77	0.00613395
0.78	0.00648652
0.79	0.00684389
0.8	0.00720242
0.81	0.00756499
0.82	0.00792851
0.83	0.00829438
0.84	0.00866351
0.85	0.00903337
0.86	0.00940498
0.87	0.00977992
0.88	0.010155
0.89	0.0105314
0.9	0.010911
0.91	0.0112903
0.92	0.0116711
0.93	0.0120545
0.94	0.0124381
0.95	0.0128225
0.96	0.0132093
0.97	0.013596
0.98	0.0139836
0.99	0.0143736
