V	I
0.0	1.19209e-08
0.01	-6.4373e-07
0.02	-5.60284e-07
0.03	-5.72205e-07
0.04	-7.03335e-07
0.05	-5.96046e-07
0.06	-5.72205e-07
0.07	-5.00679e-07
0.08	-6.55651e-07
0.09	-5.24521e-07
0.1	-1.40667e-06
0.11	-5.72205e-07
0.12	-5.36442e-07
0.13	-5.60284e-07
0.14	-5.72205e-07
0.15	-4.88758e-07
0.16	-5.36442e-07
0.17	-5.36442e-07
0.18	-5.84126e-07
0.19	-4.76837e-07
0.2	-7.51019e-07
0.21	-5.48363e-07
0.22	-5.24521e-07
0.23	-5.48363e-07
0.24	-5.00679e-07
0.25	-5.60284e-07
0.26	-5.126e-07
0.27	-4.05312e-07
0.28	-4.76837e-07
0.29	-4.88758e-07
0.3	-6.67572e-07
0.31	-5.24521e-07
0.32	-4.05312e-07
0.33	-4.64916e-07
0.34	-4.52995e-07
0.35	-5.126e-07
0.36	-3.8147e-07
0.37	-4.41074e-07
0.38	-4.17233e-07
0.39	-4.52995e-07
0.4	-2.86102e-07
0.41	-2.26498e-07
0.42	-1.78814e-07
0.43	-9.53674e-08
0.44	1.78814e-07
0.45	4.64916e-07
0.46	7.98702e-07
0.47	1.41859e-06
0.48	2.18153e-06
0.49	3.46899e-06
0.5	5.29289e-06
0.51	8.2016e-06
0.52	1.21593e-05
0.53	1.80125e-05
0.54	2.66433e-05
0.55	3.94702e-05
0.56	5.79953e-05
0.57	8.47578e-05
0.58	0.000123036
0.59	0.000175655
0.6	0.000246584
0.61	0.000339246
0.62	0.000455284
0.63	0.000596142
0.64	0.000761867
0.65	0.000950575
0.66	0.00116048
0.67	0.00139014
0.68	0.00163627
0.69	0.00189697
0.7	0.00217186
0.71	0.00245696
0.72	0.00275199
0.73	0.00305682
0.74	0.00336821
0.75	0.0036863
0.76	0.00401194
0.77	0.00434173
0.78	0.00467615
0.79	0.00501636
0.8	0.00535928
0.81	0.00570684
0.82	0.00605652
0.83	0.00640935
0.84	0.00676607
0.85	0.0071239
0.86	0.00748438
0.87	0.00784829
0.88	0.00821286
0.89	0.00857942
0.9	0.00894918
0.91	0.00931913
0.92	0.00969054
0.93	0.0100648
0.94	0.0104393
0.95	0.010815
0.96	0.0111931
0.97	0.0115713
0.98	0.0119509
0.99	0.0123324
