V	I
0.0	-1.19209e-08
0.01	-6.67572e-07
0.02	-6.55651e-07
0.03	-5.60284e-07
0.04	-7.03335e-07
0.05	-6.31809e-07
0.06	-6.55651e-07
0.07	-6.31809e-07
0.08	-5.84126e-07
0.09	-6.07967e-07
0.1	-1.56164e-06
0.11	-6.07967e-07
0.12	-5.48363e-07
0.13	-5.84126e-07
0.14	-6.31809e-07
0.15	-5.84126e-07
0.16	-6.19888e-07
0.17	-5.24521e-07
0.18	-7.39098e-07
0.19	-5.72205e-07
0.2	-9.53674e-07
0.21	-5.48363e-07
0.22	-5.60284e-07
0.23	-6.4373e-07
0.24	-6.4373e-07
0.25	-7.15256e-07
0.26	-6.31809e-07
0.27	-5.96046e-07
0.28	-6.67572e-07
0.29	-6.31809e-07
0.3	-7.39098e-07
0.31	-6.67572e-07
0.32	-6.4373e-07
0.33	-6.31809e-07
0.34	-5.60284e-07
0.35	-6.4373e-07
0.36	-5.48363e-07
0.37	-6.07967e-07
0.38	-5.60284e-07
0.39	-5.60284e-07
0.4	-5.24521e-07
0.41	-4.41074e-07
0.42	-4.52995e-07
0.43	-3.69549e-07
0.44	-2.26498e-07
0.45	-2.38419e-07
0.46	7.15256e-08
0.47	2.74181e-07
0.48	6.31809e-07
0.49	1.28746e-06
0.5	2.09808e-06
0.51	3.29018e-06
0.52	5.126e-06
0.53	8.14199e-06
0.54	1.23143e-05
0.55	1.84894e-05
0.56	2.77996e-05
0.57	4.16875e-05
0.58	6.21438e-05
0.59	9.1815e-05
0.6	0.000134051
0.61	0.000193
0.62	0.00027175
0.63	0.000373447
0.64	0.000500929
0.65	0.000653601
0.66	0.000830495
0.67	0.0010312
0.68	0.00125216
0.69	0.00149108
0.7	0.00174698
0.71	0.00201602
0.72	0.00229708
0.73	0.00258969
0.74	0.00289048
0.75	0.00319932
0.76	0.0035166
0.77	0.00383875
0.78	0.00416664
0.79	0.00450093
0.8	0.00483812
0.81	0.00518078
0.82	0.00552591
0.83	0.00587437
0.84	0.00622697
0.85	0.00658116
0.86	0.006938
0.87	0.00729843
0.88	0.00765983
0.89	0.00802305
0.9	0.00838965
0.91	0.00875669
0.92	0.00912532
0.93	0.00949683
0.94	0.00986887
0.95	0.0102417
0.96	0.0106175
0.97	0.0109933
0.98	0.0113703
0.99	0.0117497
