V	I
0.0	1.07288e-07
0.01	-6.55651e-07
0.02	-5.96046e-07
0.03	-5.48363e-07
0.04	-6.07967e-07
0.05	-5.60284e-07
0.06	-4.52995e-07
0.07	-4.88758e-07
0.08	-5.84126e-07
0.09	-5.48363e-07
0.1	-1.39475e-06
0.11	-5.24521e-07
0.12	-6.19888e-07
0.13	-6.07967e-07
0.14	-5.96046e-07
0.15	-5.24521e-07
0.16	-6.31809e-07
0.17	-5.24521e-07
0.18	-5.48363e-07
0.19	-5.24521e-07
0.2	-7.86781e-07
0.21	-5.84126e-07
0.22	-4.88758e-07
0.23	-4.88758e-07
0.24	-5.48363e-07
0.25	-5.84126e-07
0.26	-6.19888e-07
0.27	-5.96046e-07
0.28	-5.60284e-07
0.29	-6.07967e-07
0.3	-7.03335e-07
0.31	-5.60284e-07
0.32	-5.96046e-07
0.33	-4.88758e-07
0.34	-5.72205e-07
0.35	-6.07967e-07
0.36	-5.00679e-07
0.37	-5.60284e-07
0.38	-5.96046e-07
0.39	-6.31809e-07
0.4	-5.24521e-07
0.41	-5.24521e-07
0.42	-4.17233e-07
0.43	-5.126e-07
0.44	-4.64916e-07
0.45	-3.21865e-07
0.46	-2.86102e-07
0.47	-2.6226e-07
0.48	-1.3113e-07
0.49	1.07288e-07
0.5	4.05312e-07
0.51	9.89437e-07
0.52	1.66893e-06
0.53	2.59876e-06
0.54	4.29153e-06
0.55	6.73532e-06
0.56	1.07527e-05
0.57	1.64032e-05
0.58	2.49863e-05
0.59	3.78609e-05
0.6	5.75066e-05
0.61	8.66055e-05
0.62	0.000128555
0.63	0.000187588
0.64	0.000267959
0.65	0.000372517
0.66	0.000503206
0.67	0.000660884
0.68	0.000843346
0.69	0.00104899
0.7	0.00127624
0.71	0.00152079
0.72	0.00178108
0.73	0.00205601
0.74	0.00234157
0.75	0.00263722
0.76	0.00294304
0.77	0.0032553
0.78	0.00357442
0.79	0.0039009
0.8	0.0042312
0.81	0.0045675
0.82	0.00490686
0.83	0.00525028
0.84	0.0055981
0.85	0.00594801
0.86	0.0063007
0.87	0.00665736
0.88	0.00701532
0.89	0.00737537
0.9	0.00773883
0.91	0.00810298
0.92	0.00846883
0.93	0.00883774
0.94	0.00920714
0.95	0.00957761
0.96	0.00995094
0.97	0.0103244
0.98	0.0106993
0.99	0.0110763
