V	I
0.0	0.0
0.01	-7.7486e-07
0.02	-6.91414e-07
0.03	-6.31809e-07
0.04	-7.62939e-07
0.05	-6.91414e-07
0.06	-7.62939e-07
0.07	-6.31809e-07
0.08	-7.98702e-07
0.09	-6.91414e-07
0.1	-1.57356e-06
0.11	-6.79493e-07
0.12	-7.51019e-07
0.13	-6.67572e-07
0.14	-6.79493e-07
0.15	-7.03335e-07
0.16	-6.91414e-07
0.17	-6.79493e-07
0.18	-7.39098e-07
0.19	-6.91414e-07
0.2	-9.29832e-07
0.21	-5.96046e-07
0.22	-6.4373e-07
0.23	-6.55651e-07
0.24	-6.55651e-07
0.25	-6.4373e-07
0.26	-6.79493e-07
0.27	-6.67572e-07
0.28	-6.67572e-07
0.29	-6.67572e-07
0.3	-6.91414e-07
0.31	-6.19888e-07
0.32	-6.67572e-07
0.33	-6.4373e-07
0.34	-5.24521e-07
0.35	-5.60284e-07
0.36	-5.36442e-07
0.37	-6.55651e-07
0.38	-5.48363e-07
0.39	-5.84126e-07
0.4	-6.31809e-07
0.41	-6.07967e-07
0.42	-6.31809e-07
0.43	-5.00679e-07
0.44	-5.24521e-07
0.45	-3.8147e-07
0.46	-2.38419e-07
0.47	-1.3113e-07
0.48	5.96046e-08
0.49	3.45707e-07
0.5	7.98702e-07
0.51	1.4782e-06
0.52	2.47955e-06
0.53	3.96967e-06
0.54	6.19888e-06
0.55	9.75132e-06
0.56	1.49012e-05
0.57	2.2614e-05
0.58	3.42846e-05
0.59	5.17011e-05
0.6	7.72238e-05
0.61	0.000114524
0.62	0.000166893
0.63	0.000238621
0.64	0.00033319
0.65	0.000452781
0.66	0.000598097
0.67	0.000769436
0.68	0.000964022
0.69	0.00117991
0.7	0.0014156
0.71	0.001667
0.72	0.00193291
0.73	0.0022121
0.74	0.00250113
0.75	0.0027995
0.76	0.00310737
0.77	0.00342119
0.78	0.00374135
0.79	0.00406845
0.8	0.00439936
0.81	0.0047358
0.82	0.00507505
0.83	0.00541818
0.84	0.00576577
0.85	0.00611496
0.86	0.00646704
0.87	0.00682306
0.88	0.00718007
0.89	0.00753924
0.9	0.00790166
0.91	0.00826474
0.92	0.00862953
0.93	0.00899718
0.94	0.00936538
0.95	0.00973465
0.96	0.0101066
0.97	0.0104786
0.98	0.0108521
0.99	0.0112278
