V	I
0.0	-1.19209e-08
0.01	-6.55651e-07
0.02	-6.07967e-07
0.03	-6.55651e-07
0.04	-7.39098e-07
0.05	-5.60284e-07
0.06	-5.96046e-07
0.07	-6.55651e-07
0.08	-7.86781e-07
0.09	-7.03335e-07
0.1	-1.57356e-06
0.11	-5.96046e-07
0.12	-7.27177e-07
0.13	-6.4373e-07
0.14	-5.60284e-07
0.15	-6.19888e-07
0.16	-6.31809e-07
0.17	-5.48363e-07
0.18	-5.72205e-07
0.19	-6.31809e-07
0.2	-8.46386e-07
0.21	-7.03335e-07
0.22	-6.55651e-07
0.23	-7.15256e-07
0.24	-6.19888e-07
0.25	-5.84126e-07
0.26	-5.96046e-07
0.27	-6.31809e-07
0.28	-6.19888e-07
0.29	-6.19888e-07
0.3	-7.03335e-07
0.31	-6.31809e-07
0.32	-5.72205e-07
0.33	-5.84126e-07
0.34	-4.76837e-07
0.35	-4.64916e-07
0.36	-2.98023e-07
0.37	-3.09944e-07
0.38	-2.02656e-07
0.39	2.38419e-08
0.4	2.6226e-07
0.41	5.72205e-07
0.42	1.14441e-06
0.43	1.87159e-06
0.44	2.7895e-06
0.45	4.27961e-06
0.46	6.27041e-06
0.47	9.59635e-06
0.48	1.39833e-05
0.49	2.02179e-05
0.5	2.92778e-05
0.51	4.23431e-05
0.52	6.08444e-05
0.53	8.70824e-05
0.54	0.000123513
0.55	0.000173175
0.56	0.000239253
0.57	0.000324523
0.58	0.000431943
0.59	0.000562024
0.6	0.000715351
0.61	0.000892139
0.62	0.00108972
0.63	0.00130676
0.64	0.00154215
0.65	0.00179296
0.66	0.00205698
0.67	0.00233457
0.68	0.00262196
0.69	0.00291883
0.7	0.0032253
0.71	0.00353812
0.72	0.00385759
0.73	0.00418408
0.74	0.00451484
0.75	0.00485042
0.76	0.00519187
0.77	0.00553592
0.78	0.00588356
0.79	0.00623617
0.8	0.00659016
0.81	0.00694858
0.82	0.0073082
0.83	0.00767061
0.84	0.00803626
0.85	0.00840281
0.86	0.00877132
0.87	0.00914309
0.88	0.00951501
0.89	0.00988871
0.9	0.0102654
0.91	0.0106421
0.92	0.0110202
0.93	0.0114012
0.94	0.0117822
0.95	0.012164
0.96	0.0125484
0.97	0.0129326
0.98	0.0133183
0.99	0.0137057
