V	I
0.0	0.0
0.01	-6.07967e-07
0.02	-6.91414e-07
0.03	-6.4373e-07
0.04	-6.55651e-07
0.05	-5.48363e-07
0.06	-6.55651e-07
0.07	-6.07967e-07
0.08	-7.03335e-07
0.09	-7.03335e-07
0.1	-1.57356e-06
0.11	-5.96046e-07
0.12	-6.79493e-07
0.13	-5.96046e-07
0.14	-5.84126e-07
0.15	-6.31809e-07
0.16	-7.03335e-07
0.17	-6.91414e-07
0.18	-6.55651e-07
0.19	-6.31809e-07
0.2	-8.22544e-07
0.21	-7.27177e-07
0.22	-6.31809e-07
0.23	-6.4373e-07
0.24	-6.07967e-07
0.25	-6.67572e-07
0.26	-6.07967e-07
0.27	-5.24521e-07
0.28	-6.19888e-07
0.29	-5.36442e-07
0.3	-6.19888e-07
0.31	-5.60284e-07
0.32	-6.07967e-07
0.33	-5.84126e-07
0.34	-4.64916e-07
0.35	-4.41074e-07
0.36	-4.17233e-07
0.37	-3.33786e-07
0.38	-1.78814e-07
0.39	-1.54972e-07
0.4	5.96046e-08
0.41	3.93391e-07
0.42	7.51019e-07
0.43	1.27554e-06
0.44	2.18153e-06
0.45	3.21865e-06
0.46	4.85182e-06
0.47	7.58171e-06
0.48	1.1003e-05
0.49	1.60694e-05
0.5	2.33531e-05
0.51	3.38674e-05
0.52	4.90785e-05
0.53	7.0715e-05
0.54	0.000101149
0.55	0.000143397
0.56	0.000200248
0.57	0.000275218
0.58	0.000371158
0.59	0.000489533
0.6	0.00063144
0.61	0.000797343
0.62	0.00098474
0.63	0.0011928
0.64	0.00142034
0.65	0.00166388
0.66	0.00192217
0.67	0.00219448
0.68	0.0024773
0.69	0.00277028
0.7	0.00307293
0.71	0.00338268
0.72	0.00369924
0.73	0.00402356
0.74	0.00435209
0.75	0.00468595
0.76	0.00502542
0.77	0.00536797
0.78	0.00571405
0.79	0.00606511
0.8	0.00641797
0.81	0.00677519
0.82	0.00713351
0.83	0.00749478
0.84	0.00785935
0.85	0.0082249
0.86	0.00859253
0.87	0.00896351
0.88	0.00933465
0.89	0.00970746
0.9	0.0100833
0.91	0.0104593
0.92	0.0108369
0.93	0.0112171
0.94	0.0115974
0.95	0.0119785
0.96	0.0123623
0.97	0.012746
0.98	0.0131307
0.99	0.0135176
