V	I
0.0	-4.76837e-08
0.01	-7.03335e-07
0.02	-5.84126e-07
0.03	-6.79493e-07
0.04	-6.67572e-07
0.05	-6.79493e-07
0.06	-6.4373e-07
0.07	-6.55651e-07
0.08	-6.07967e-07
0.09	-6.79493e-07
0.1	-1.56164e-06
0.11	-6.31809e-07
0.12	-6.67572e-07
0.13	-6.67572e-07
0.14	-6.31809e-07
0.15	-5.60284e-07
0.16	-6.31809e-07
0.17	-6.55651e-07
0.18	-7.03335e-07
0.19	-5.60284e-07
0.2	-8.58307e-07
0.21	-6.31809e-07
0.22	-6.31809e-07
0.23	-6.07967e-07
0.24	-5.84126e-07
0.25	-5.60284e-07
0.26	-6.19888e-07
0.27	-6.31809e-07
0.28	-6.19888e-07
0.29	-5.84126e-07
0.3	-6.67572e-07
0.31	-5.96046e-07
0.32	-6.19888e-07
0.33	-6.67572e-07
0.34	-5.126e-07
0.35	-5.84126e-07
0.36	-6.31809e-07
0.37	-5.84126e-07
0.38	-5.72205e-07
0.39	-4.88758e-07
0.4	-6.07967e-07
0.41	-4.52995e-07
0.42	-5.24521e-07
0.43	-5.126e-07
0.44	-4.41074e-07
0.45	-4.76837e-07
0.46	-3.8147e-07
0.47	-2.14577e-07
0.48	-3.09944e-07
0.49	-2.38419e-07
0.5	-7.15256e-08
0.51	2.02656e-07
0.52	5.60284e-07
0.53	9.89437e-07
0.54	1.91927e-06
0.55	3.06368e-06
0.56	4.86374e-06
0.57	7.87973e-06
0.58	1.23262e-05
0.59	1.89066e-05
0.6	2.89917e-05
0.61	4.46558e-05
0.62	6.81758e-05
0.63	0.000102949
0.64	0.000153208
0.65	0.000223076
0.66	0.00031637
0.67	0.000436211
0.68	0.0005826
0.69	0.000755167
0.7	0.000952923
0.71	0.0011717
0.72	0.00140982
0.73	0.00166508
0.74	0.00193377
0.75	0.00221486
0.76	0.00250773
0.77	0.00280836
0.78	0.00311688
0.79	0.00343395
0.8	0.00375584
0.81	0.004084
0.82	0.00441602
0.83	0.00475264
0.84	0.00509384
0.85	0.00543742
0.86	0.00578412
0.87	0.00613495
0.88	0.00648732
0.89	0.00684183
0.9	0.00720018
0.91	0.00755919
0.92	0.00792006
0.93	0.00828408
0.94	0.00864867
0.95	0.00901449
0.96	0.00938312
0.97	0.00975173
0.98	0.0101218
0.99	0.0104941
