V	I
0.0	-4.76837e-08
0.01	-6.79493e-07
0.02	-6.79493e-07
0.03	-6.67572e-07
0.04	-6.79493e-07
0.05	-6.4373e-07
0.06	-6.79493e-07
0.07	-5.126e-07
0.08	-5.24521e-07
0.09	-6.31809e-07
0.1	-1.4782e-06
0.11	-5.72205e-07
0.12	-6.55651e-07
0.13	-6.07967e-07
0.14	-6.19888e-07
0.15	-5.96046e-07
0.16	-5.24521e-07
0.17	-5.00679e-07
0.18	-6.07967e-07
0.19	-5.60284e-07
0.2	-7.98702e-07
0.21	-5.96046e-07
0.22	-5.60284e-07
0.23	-6.31809e-07
0.24	-5.60284e-07
0.25	-5.96046e-07
0.26	-6.4373e-07
0.27	-5.36442e-07
0.28	-5.60284e-07
0.29	-5.84126e-07
0.3	-6.07967e-07
0.31	-5.126e-07
0.32	-6.67572e-07
0.33	-5.60284e-07
0.34	-5.126e-07
0.35	-5.00679e-07
0.36	-4.76837e-07
0.37	-3.69549e-07
0.38	-3.93391e-07
0.39	-2.38419e-07
0.4	-1.43051e-07
0.41	1.07288e-07
0.42	3.93391e-07
0.43	7.03335e-07
0.44	1.13249e-06
0.45	1.8239e-06
0.46	2.87294e-06
0.47	4.30346e-06
0.48	6.41346e-06
0.49	9.84669e-06
0.5	1.44601e-05
0.51	2.11239e-05
0.52	3.08275e-05
0.53	4.50254e-05
0.54	6.53028e-05
0.55	9.42826e-05
0.56	0.000134456
0.57	0.000189507
0.58	0.000262916
0.59	0.000356746
0.6	0.00047369
0.61	0.000615227
0.62	0.000780022
0.63	0.00096736
0.64	0.00117654
0.65	0.00140396
0.66	0.00164829
0.67	0.00190811
0.68	0.00218046
0.69	0.00246385
0.7	0.00275868
0.71	0.00306122
0.72	0.00337185
0.73	0.0036902
0.74	0.00401392
0.75	0.00434314
0.76	0.00467861
0.77	0.00501738
0.78	0.00536
0.79	0.00570827
0.8	0.00605813
0.81	0.00641255
0.82	0.00676851
0.83	0.00712738
0.84	0.00748979
0.85	0.00785323
0.86	0.00821886
0.87	0.00858769
0.88	0.00895709
0.89	0.00932828
0.9	0.00970246
0.91	0.0100769
0.92	0.0104526
0.93	0.0108312
0.94	0.0112101
0.95	0.0115898
0.96	0.011972
0.97	0.0123541
0.98	0.0127374
0.99	0.0131229
