V	I
0.0	-1.07288e-07
0.01	-7.62939e-07
0.02	-6.91414e-07
0.03	-6.67572e-07
0.04	-7.86781e-07
0.05	-7.39098e-07
0.06	-6.79493e-07
0.07	-6.55651e-07
0.08	-7.51019e-07
0.09	-6.67572e-07
0.1	-1.58548e-06
0.11	-6.31809e-07
0.12	-7.51019e-07
0.13	-7.03335e-07
0.14	-6.67572e-07
0.15	-5.60284e-07
0.16	-6.67572e-07
0.17	-6.19888e-07
0.18	-6.67572e-07
0.19	-6.07967e-07
0.2	-8.70228e-07
0.21	-5.00679e-07
0.22	-5.00679e-07
0.23	-5.24521e-07
0.24	-5.00679e-07
0.25	-5.24521e-07
0.26	-5.126e-07
0.27	-4.88758e-07
0.28	-3.09944e-07
0.29	-2.14577e-07
0.3	1.19209e-08
0.31	1.3113e-07
0.32	4.88758e-07
0.33	8.10623e-07
0.34	1.28746e-06
0.35	2.01464e-06
0.36	3.00407e-06
0.37	4.35114e-06
0.38	6.27041e-06
0.39	9.16719e-06
0.4	1.28508e-05
0.41	1.80125e-05
0.42	2.51174e-05
0.43	3.49641e-05
0.44	4.89235e-05
0.45	6.78301e-05
0.46	9.36031e-05
0.47	0.00012846
0.48	0.00017457
0.49	0.000234568
0.5	0.000311267
0.51	0.000406265
0.52	0.000521314
0.53	0.000657964
0.54	0.000815439
0.55	0.00099386
0.56	0.00119114
0.57	0.00140649
0.58	0.00163934
0.59	0.00188607
0.6	0.00214626
0.61	0.00241944
0.62	0.00270249
0.63	0.00299487
0.64	0.00329717
0.65	0.0036064
0.66	0.00392224
0.67	0.00424528
0.68	0.00457329
0.69	0.00490633
0.7	0.00524527
0.71	0.00558738
0.72	0.00593355
0.73	0.0062844
0.74	0.00663742
0.75	0.00699358
0.76	0.0073541
0.77	0.0077159
0.78	0.0080802
0.79	0.00844834
0.8	0.00881722
0.81	0.0091895
0.82	0.00956244
0.83	0.00993735
0.84	0.0103151
0.85	0.0106933
0.86	0.011073
0.87	0.0114557
0.88	0.0118384
0.89	0.0122223
0.9	0.0126091
0.91	0.0129956
0.92	0.0133834
0.93	0.0137736
0.94	0.0141637
0.95	0.0145547
0.96	0.014948
0.97	0.015341
0.98	0.0157351
0.99	0.0161314
