V	I
0.0	2.38419e-08
0.01	-7.03335e-07
0.02	-5.48363e-07
0.03	-5.36442e-07
0.04	-7.39098e-07
0.05	-6.19888e-07
0.06	-5.24521e-07
0.07	-5.96046e-07
0.08	-6.67572e-07
0.09	-5.72205e-07
0.1	-1.66893e-06
0.11	-5.60284e-07
0.12	-6.4373e-07
0.13	-5.72205e-07
0.14	-6.19888e-07
0.15	-6.31809e-07
0.16	-5.96046e-07
0.17	-5.36442e-07
0.18	-4.88758e-07
0.19	-5.60284e-07
0.2	-7.86781e-07
0.21	-5.36442e-07
0.22	-5.60284e-07
0.23	-4.88758e-07
0.24	-5.24521e-07
0.25	-5.00679e-07
0.26	-4.29153e-07
0.27	-4.88758e-07
0.28	-2.86102e-07
0.29	-2.74181e-07
0.3	-3.09944e-07
0.31	-1.3113e-07
0.32	9.53674e-08
0.33	3.57628e-07
0.34	7.15256e-07
0.35	1.03712e-06
0.36	1.71661e-06
0.37	2.63453e-06
0.38	3.71933e-06
0.39	5.3525e-06
0.4	7.89166e-06
0.41	1.11461e-05
0.42	1.55926e-05
0.43	2.18868e-05
0.44	3.07202e-05
0.45	4.29869e-05
0.46	6.00934e-05
0.47	8.35776e-05
0.48	0.000115407
0.49	0.000158048
0.5	0.000214529
0.51	0.000286698
0.52	0.000377262
0.53	0.000488329
0.54	0.000620604
0.55	0.000774765
0.56	0.000949395
0.57	0.00114387
0.58	0.0013576
0.59	0.00158738
0.6	0.00183253
0.61	0.00209225
0.62	0.00236349
0.63	0.00264529
0.64	0.00293819
0.65	0.00323895
0.66	0.00354716
0.67	0.00386329
0.68	0.00418495
0.69	0.00451211
0.7	0.00484573
0.71	0.00518279
0.72	0.00552446
0.73	0.00587105
0.74	0.00622
0.75	0.0065725
0.76	0.00692945
0.77	0.00728772
0.78	0.00764866
0.79	0.0080137
0.8	0.00837961
0.81	0.00874912
0.82	0.0091193
0.83	0.00949165
0.84	0.00986677
0.85	0.0102424
0.86	0.0106196
0.87	0.011
0.88	0.0113804
0.89	0.0117619
0.9	0.0121464
0.91	0.0125307
0.92	0.0129163
0.93	0.0133043
0.94	0.0136923
0.95	0.0140811
0.96	0.0144725
0.97	0.0148634
0.98	0.0152554
0.99	0.0156496
