N	Rq	dRq	R	dR
1	494421	1109.37	1154.08	2.57975
2	494416	1039.55	1162.7	2.58059
3	493555	1034.52	1171.62	2.58961
4	492639	1027.3	1180.99	2.58716
5	491739	1028.23	1190.6	2.59109
6	490408	1027.32	1205.49	2.5969
7	489373	1026.16	1217.7	2.6049
8	488861	955.149	1235.98	2.61087
9	487207	954.197	1257.9	2.61388
10	487004	954.603	1260.69	2.65538
11	486159	952.804	1273.23	2.6205
12	485337	948.019	1285.63	2.62106
