time	R	I
0.0	913.906	9.7e-05
0.01	913.905	9.7e-05
0.02	913.909	9.7e-05
0.03	913.917	9.7e-05
0.04	913.913	9.7e-05
0.05	913.895	9.7e-05
0.06	913.916	9.7e-05
0.07	913.901	9.7e-05
0.08	913.892	9.7e-05
0.09	913.876	9.7e-05
0.1	913.89	9.7e-05
0.11	913.88	9.7e-05
0.12	913.875	9.7e-05
0.13	913.87	9.7e-05
0.14	913.891	9.7e-05
0.15	913.896	9.7e-05
0.16	913.878	9.7e-05
0.17	913.848	9.7e-05
0.18	913.853	9.7e-05
0.19	913.864	9.7e-05
0.2	913.855	9.7e-05
0.21	913.834	9.7e-05
0.22	913.826	9.7e-05
0.23	913.851	9.7e-05
0.24	913.84	9.7e-05
0.25	913.852	9.7e-05
0.26	913.845	9.7e-05
0.27	913.833	9.7e-05
0.28	913.839	9.7e-05
0.29	913.816	9.7e-05
0.3	913.821	9.7e-05
0.31	913.81	9.7e-05
0.32	913.811	9.7e-05
0.33	913.817	9.7e-05
0.34	913.79	9.7e-05
0.35	913.803	9.7e-05
0.36	913.812	9.7e-05
0.37	913.788	9.7e-05
0.38	913.8	9.7e-05
0.39	913.774	9.7e-05
0.4	913.774	9.7e-05
0.41	913.782	9.7e-05
0.42	913.781	9.7e-05
0.43	913.775	9.7e-05
0.44	913.769	9.7e-05
0.45	913.777	9.7e-05
0.46	913.756	9.7e-05
0.47	913.759	9.7e-05
0.48	913.764	9.7e-05
0.49	913.744	9.7e-05
0.5	913.756	9.7e-05
0.51	913.771	9.7e-05
0.52	913.766	9.7e-05
0.53	913.749	9.7e-05
0.54	913.756	9.7e-05
0.55	913.733	9.7e-05
0.56	913.735	9.7e-05
0.57	913.755	9.7e-05
0.58	913.759	9.7e-05
0.59	913.75	9.7e-05
0.6	913.733	9.7e-05
0.61	913.74	9.7e-05
0.62	913.734	9.7e-05
0.63	913.752	9.7e-05
0.64	913.744	9.7e-05
0.65	913.726	9.7e-05
0.66	913.728	9.7e-05
0.67	913.741	9.7e-05
0.68	913.743	9.7e-05
0.69	913.748	9.7e-05
0.7	913.733	9.7e-05
0.71	913.71	9.7e-05
0.72	913.73	9.7e-05
0.73	913.736	9.7e-05
0.74	913.722	9.7e-05
0.75	913.709	9.7e-05
0.76	913.72	9.7e-05
0.77	913.736	9.7e-05
0.78	913.698	9.7e-05
0.79	913.725	9.7e-05
0.8	913.737	9.7e-05
0.81	913.74	9.7e-05
0.82	913.729	9.7e-05
0.83	913.697	9.7e-05
0.84	913.72	9.7e-05
0.85	913.707	9.7e-05
0.86	913.726	9.7e-05
0.87	913.694	9.7e-05
0.88	913.717	9.7e-05
0.89	913.68	9.7e-05
0.9	913.701	9.7e-05
0.91	913.679	9.7e-05
0.92	913.705	9.7e-05
0.93	913.684	9.7e-05
0.94	913.691	9.7e-05
0.95	913.715	9.7e-05
0.96	913.683	9.7e-05
0.97	913.703	9.7e-05
0.98	913.677	9.7e-05
0.99	913.67	9.7e-05
