V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	3.38146e-06	0.598582	1e-05	1091.272
30.0	3.29316e-06	0.604115	1.21518e-05	1091.27
30.0	3.38742e-06	0.6097	1.47667e-05	1091.276
30.0	3.39147e-06	0.61536	1.79443e-05	1091.271
30.0	3.38838e-06	0.621123	2.18056e-05	1091.267
30.0	3.45182e-06	0.626969	2.64977e-05	1091.264
30.0	3.50759e-06	0.632928	3.21996e-05	1091.285
30.0	3.63358e-06	0.638995	3.91284e-05	1091.274
30.0	3.67375e-06	0.645182	4.75482e-05	1091.275
30.0	3.72727e-06	0.651483	5.77798e-05	1091.291
30.0	3.7313e-06	0.657909	7.02131e-05	1091.27
30.0	4.05722e-06	0.664462	8.53217e-05	1091.265
30.0	4.14162e-06	0.671136	0.000103682	1091.279
30.0	4.36527e-06	0.677935	0.000125992	1091.288
30.0	4.79303e-06	0.68485	0.000153104	1091.269
30.0	5.18706e-06	0.691869	0.000186049	1091.264
30.0	5.70067e-06	0.698989	0.000226083	1091.274
30.0	6.3293e-06	0.706204	0.000274733	1091.262
30.0	7.53556e-06	0.713498	0.000333851	1091.268
30.0	8.7002e-06	0.720865	0.00040569	1091.288
30.0	1.05294e-05	0.728293	0.000492988	1091.259
30.0	1.27045e-05	0.735781	0.00059907	1091.28
30.0	1.55608e-05	0.74332	0.00072798	1091.284
30.0	1.9373e-05	0.750916	0.000884629	1091.267
30.0	2.42386e-05	0.758572	0.00107499	1091.282
30.0	3.05807e-05	0.766309	0.00130631	1091.282
30.0	3.89435e-05	0.774152	0.0015874	1091.268
30.0	4.88584e-05	0.78211	0.00192898	1091.289
30.0	6.23539e-05	0.790238	0.00234407	1091.273
30.0	7.9153e-05	0.798583	0.00284847	1091.281
30.0	9.98836e-05	0.807213	0.00346142	1091.269
30.0	0.000126287	0.816202	0.00420626	1091.27
30.0	0.000159164	0.825649	0.00511137	1091.291
30.0	0.000200226	0.835656	0.00621125	1091.256
30.0	0.000250536	0.846364	0.00754781	1091.277
30.0	0.00031171	0.857918	0.00917197	1091.259
30.0	0.000387154	0.870471	0.0111456	1091.272
30.0	0.00047987	0.88422	0.013544	1091.261
30.0	0.000591538	0.899345	0.0164584	1091.27
30.0	0.000727181	0.916016	0.02	1091.285
30.0	0.000727339	0.915874	0.02	1091.279
30.0	0.000593591	0.898991	0.0164584	1091.261
30.0	0.000479739	0.883747	0.013544	1091.267
30.0	0.000388232	0.869946	0.0111456	1091.283
30.0	0.000311854	0.857368	0.00917197	1091.265
30.0	0.000250337	0.845813	0.00754781	1091.268
30.0	0.000200261	0.835115	0.00621125	1091.275
30.0	0.000158599	0.825127	0.00511137	1091.269
30.0	0.000126285	0.815706	0.00420626	1091.253
30.0	0.000100212	0.806742	0.00346142	1091.25
30.0	7.93442e-05	0.798143	0.00284847	1091.277
30.0	6.2715e-05	0.789814	0.00234407	1091.259
30.0	4.90084e-05	0.78171	0.00192898	1091.278
30.0	3.87498e-05	0.773776	0.0015874	1091.271
30.0	3.06807e-05	0.765955	0.00130631	1091.267
30.0	2.42467e-05	0.75824	0.00107499	1091.271
30.0	1.93545e-05	0.750602	0.000884629	1091.279
30.0	1.56554e-05	0.743024	0.00072798	1091.261
30.0	1.26896e-05	0.735496	0.00059907	1091.256
30.0	1.06228e-05	0.728023	0.000492988	1091.269
30.0	8.9447e-06	0.720607	0.00040569	1091.276
30.0	7.60752e-06	0.713247	0.000333851	1091.268
30.0	6.59118e-06	0.705965	0.000274733	1091.245
30.0	5.85207e-06	0.69876	0.000226083	1091.285
30.0	5.21856e-06	0.691649	0.000186049	1091.274
30.0	4.72721e-06	0.684637	0.000153104	1091.274
30.0	4.59494e-06	0.677728	0.000125992	1091.259
30.0	4.217e-06	0.670938	0.000103682	1091.283
30.0	4.04679e-06	0.664271	8.53217e-05	1091.272
30.0	3.90661e-06	0.657723	7.02131e-05	1091.267
30.0	3.65953e-06	0.651297	5.77798e-05	1091.27
30.0	3.64805e-06	0.645002	4.75482e-05	1091.27
30.0	3.6112e-06	0.638823	3.91284e-05	1091.267
30.0	3.49262e-06	0.63276	3.21996e-05	1091.271
30.0	3.52141e-06	0.626803	2.64977e-05	1091.273
30.0	3.483e-06	0.62096	2.18056e-05	1091.269
30.0	3.45359e-06	0.615203	1.79443e-05	1091.274
30.0	3.46023e-06	0.609545	1.47667e-05	1091.263
30.0	3.38376e-06	0.603964	1.21518e-05	1091.269
30.0	3.40191e-06	0.598432	1e-05	1091.283
