V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	0.000159728	0.823968	0.00511137	1095.579
30.0	0.000200524	0.833978	0.00621125	1095.584
30.0	0.000251144	0.844694	0.00754781	1095.574
30.0	0.000312964	0.856254	0.00917197	1095.557
30.0	0.000389197	0.86881	0.0111456	1095.565
30.0	0.000481495	0.882558	0.013544	1095.576
30.0	0.000594115	0.897691	0.0164584	1095.579
30.0	0.000730424	0.914352	0.02	1095.565
30.0	0.000731199	0.914178	0.02	1095.575
30.0	0.000594565	0.897253	0.0164584	1095.558
30.0	0.000482296	0.881993	0.013544	1095.567
30.0	0.000389936	0.868191	0.0111456	1095.574
30.0	0.000313586	0.855624	0.00917197	1095.577
30.0	0.000251603	0.844078	0.00754781	1095.571
30.0	0.000200539	0.833397	0.00621125	1095.584
30.0	0.000159835	0.82342	0.00511137	1095.578
30.0	0.000127111	0.813988	0.00420626	1095.564
30.0	0.000100845	0.80502	0.00346142	1095.573
30.0	7.97398e-05	0.796407	0.00284847	1095.588
30.0	6.27489e-05	0.788074	0.00234407	1095.566
30.0	4.986e-05	0.779959	0.00192898	1095.559
30.0	3.91747e-05	0.772004	0.0015874	1095.554
30.0	3.11208e-05	0.764176	0.00130631	1095.568
30.0	2.47653e-05	0.756432	0.00107499	1095.583
30.0	1.99378e-05	0.748785	0.000884629	1095.57
30.0	1.59992e-05	0.741175	0.00072798	1095.572
30.0	1.31723e-05	0.733626	0.00059907	1095.565
30.0	1.09171e-05	0.726129	0.000492988	1095.565
30.0	9.10241e-06	0.71869	0.00040569	1095.567
30.0	7.83401e-06	0.711308	0.000333851	1095.573
30.0	6.86666e-06	0.703999	0.000274733	1095.552
30.0	6.14374e-06	0.69677	0.000226083	1095.578
30.0	5.55145e-06	0.689625	0.000186049	1095.554
30.0	5.13835e-06	0.682588	0.000153104	1095.576
30.0	4.76935e-06	0.675651	0.000125992	1095.574
30.0	4.54954e-06	0.66883	0.000103682	1095.588
30.0	4.35676e-06	0.662133	8.53217e-05	1095.579
30.0	4.20757e-06	0.655566	7.02131e-05	1095.568
30.0	4.06408e-06	0.649115	5.77798e-05	1095.579
30.0	3.97463e-06	0.642789	4.75482e-05	1095.567
30.0	3.89751e-06	0.636587	3.91284e-05	1095.596
30.0	3.84194e-06	0.630495	3.21996e-05	1095.576
30.0	3.80361e-06	0.624519	2.64977e-05	1095.581
30.0	3.74384e-06	0.618645	2.18056e-05	1095.581
30.0	3.73551e-06	0.612869	1.79443e-05	1095.589
30.0	3.73951e-06	0.607181	1.47667e-05	1095.566
30.0	3.69052e-06	0.601581	1.21518e-05	1095.568
30.0	3.72662e-06	0.59603	1e-05	1095.58
30.0	3.65808e-06	0.59603	1e-05	1095.58
30.0	3.73042e-06	0.601593	1.21518e-05	1095.599
30.0	3.7029e-06	0.607205	1.47667e-05	1095.577
30.0	3.75548e-06	0.612903	1.79443e-05	1095.592
30.0	3.7828e-06	0.618691	2.18056e-05	1095.58
30.0	3.80977e-06	0.624573	2.64977e-05	1095.593
30.0	3.82754e-06	0.630559	3.21996e-05	1095.599
30.0	3.8813e-06	0.636659	3.91284e-05	1095.587
30.0	3.96888e-06	0.642875	4.75482e-05	1095.594
30.0	4.0423e-06	0.64921	5.77798e-05	1095.587
30.0	4.18643e-06	0.655671	7.02131e-05	1095.596
