time	R	I
0.0	1010.35	9.7e-05
0.01	1010.34	9.7e-05
0.02	1010.35	9.7e-05
0.03	1010.33	9.7e-05
0.04	1010.36	9.7e-05
0.05	1010.34	9.7e-05
0.06	1010.35	9.7e-05
0.07	1010.35	9.7e-05
0.08	1010.35	9.7e-05
0.09	1010.36	9.7e-05
0.1	1010.34	9.7e-05
0.11	1010.32	9.7e-05
0.12	1010.35	9.7e-05
0.13	1010.36	9.7e-05
0.14	1010.34	9.7e-05
0.15	1010.34	9.7e-05
0.16	1010.3	9.7e-05
0.17	1010.33	9.7e-05
0.18	1010.34	9.7e-05
0.19	1010.32	9.7e-05
0.2	1010.33	9.7e-05
0.21	1010.34	9.7e-05
0.22	1010.36	9.7e-05
0.23	1010.32	9.7e-05
0.24	1010.32	9.7e-05
0.25	1010.33	9.7e-05
0.26	1010.31	9.7e-05
0.27	1010.34	9.7e-05
0.28	1010.34	9.7e-05
0.29	1010.36	9.7e-05
0.3	1010.36	9.7e-05
0.31	1010.35	9.7e-05
0.32	1010.34	9.7e-05
0.33	1010.36	9.7e-05
0.34	1010.35	9.7e-05
0.35	1010.36	9.7e-05
0.36	1010.38	9.7e-05
0.37	1010.36	9.7e-05
0.38	1010.35	9.7e-05
0.39	1010.35	9.7e-05
0.4	1010.35	9.7e-05
0.41	1010.34	9.7e-05
0.42	1010.34	9.7e-05
0.43	1010.33	9.7e-05
0.44	1010.36	9.7e-05
0.45	1010.31	9.7e-05
0.46	1010.36	9.7e-05
0.47	1010.35	9.7e-05
0.48	1010.34	9.7e-05
0.49	1010.34	9.7e-05
0.5	1010.36	9.7e-05
0.51	1010.33	9.7e-05
0.52	1010.35	9.7e-05
0.53	1010.35	9.7e-05
0.54	1010.35	9.7e-05
0.55	1010.35	9.7e-05
0.56	1010.33	9.7e-05
0.57	1010.34	9.7e-05
0.58	1010.33	9.7e-05
0.59	1010.34	9.7e-05
0.6	1010.34	9.7e-05
0.61	1010.36	9.7e-05
0.62	1010.34	9.7e-05
0.63	1010.34	9.7e-05
0.64	1010.32	9.7e-05
0.65	1010.35	9.7e-05
0.66	1010.34	9.7e-05
0.67	1010.32	9.7e-05
0.68	1010.37	9.7e-05
0.69	1010.35	9.7e-05
0.7	1010.35	9.7e-05
0.71	1010.35	9.7e-05
0.72	1010.33	9.7e-05
0.73	1010.33	9.7e-05
0.74	1010.32	9.7e-05
0.75	1010.33	9.7e-05
0.76	1010.32	9.7e-05
0.77	1010.34	9.7e-05
0.78	1010.33	9.7e-05
0.79	1010.37	9.7e-05
0.8	1010.36	9.7e-05
0.81	1010.36	9.7e-05
0.82	1010.34	9.7e-05
0.83	1010.33	9.7e-05
0.84	1010.37	9.7e-05
0.85	1010.35	9.7e-05
0.86	1010.35	9.7e-05
0.87	1010.38	9.7e-05
0.88	1010.37	9.7e-05
0.89	1010.38	9.7e-05
0.9	1010.37	9.7e-05
0.91	1010.37	9.7e-05
0.92	1010.37	9.7e-05
0.93	1010.36	9.7e-05
0.94	1010.37	9.7e-05
0.95	1010.37	9.7e-05
0.96	1010.38	9.7e-05
0.97	1010.39	9.7e-05
0.98	1010.37	9.7e-05
0.99	1010.39	9.7e-05
