time	R	I
0.0	943.599	9.7e-05
0.01	943.638	9.7e-05
0.02	943.632	9.7e-05
0.03	943.627	9.7e-05
0.04	943.627	9.7e-05
0.05	943.65	9.7e-05
0.06	943.618	9.7e-05
0.07	943.62	9.7e-05
0.08	943.612	9.7e-05
0.09	943.633	9.7e-05
0.1	943.626	9.7e-05
0.11	943.655	9.7e-05
0.12	943.644	9.7e-05
0.13	943.64	9.7e-05
0.14	943.637	9.7e-05
0.15	943.652	9.7e-05
0.16	943.648	9.7e-05
0.17	943.662	9.7e-05
0.18	943.644	9.7e-05
0.19	943.637	9.7e-05
0.2	943.631	9.7e-05
0.21	943.644	9.7e-05
0.22	943.652	9.7e-05
0.23	943.658	9.7e-05
0.24	943.67	9.7e-05
0.25	943.667	9.7e-05
0.26	943.668	9.7e-05
0.27	943.681	9.7e-05
0.28	943.674	9.7e-05
0.29	943.664	9.7e-05
0.3	943.676	9.7e-05
0.31	943.696	9.7e-05
0.32	943.692	9.7e-05
0.33	943.69	9.7e-05
0.34	943.676	9.7e-05
0.35	943.655	9.7e-05
0.36	943.657	9.7e-05
0.37	943.669	9.7e-05
0.38	943.698	9.7e-05
0.39	943.696	9.7e-05
0.4	943.667	9.7e-05
0.41	943.683	9.7e-05
0.42	943.66	9.7e-05
0.43	943.685	9.7e-05
0.44	943.674	9.7e-05
0.45	943.665	9.7e-05
0.46	943.682	9.7e-05
0.47	943.664	9.7e-05
0.48	943.67	9.7e-05
0.49	943.666	9.7e-05
0.5	943.692	9.7e-05
0.51	943.689	9.7e-05
0.52	943.675	9.7e-05
0.53	943.665	9.7e-05
0.54	943.703	9.7e-05
0.55	943.689	9.7e-05
0.56	943.697	9.7e-05
0.57	943.683	9.7e-05
0.58	943.673	9.7e-05
0.59	943.678	9.7e-05
0.6	943.698	9.7e-05
0.61	943.676	9.7e-05
0.62	943.661	9.7e-05
0.63	943.665	9.7e-05
0.64	943.694	9.7e-05
0.65	943.693	9.7e-05
0.66	943.676	9.7e-05
0.67	943.687	9.7e-05
0.68	943.678	9.7e-05
0.69	943.685	9.7e-05
0.7	943.676	9.7e-05
0.71	943.678	9.7e-05
0.72	943.696	9.7e-05
0.73	943.712	9.7e-05
0.74	943.702	9.7e-05
0.75	943.701	9.7e-05
0.76	943.705	9.7e-05
0.77	943.718	9.7e-05
0.78	943.711	9.7e-05
0.79	943.704	9.7e-05
0.8	943.696	9.7e-05
0.81	943.715	9.7e-05
0.82	943.692	9.7e-05
0.83	943.703	9.7e-05
0.84	943.708	9.7e-05
0.85	943.711	9.7e-05
0.86	943.718	9.7e-05
0.87	943.71	9.7e-05
0.88	943.703	9.7e-05
0.89	943.73	9.7e-05
0.9	943.73	9.7e-05
0.91	943.714	9.7e-05
0.92	943.756	9.7e-05
0.93	943.741	9.7e-05
0.94	943.725	9.7e-05
0.95	943.7	9.7e-05
0.96	943.688	9.7e-05
0.97	943.682	9.7e-05
0.98	943.706	9.7e-05
0.99	943.737	9.7e-05
