time	R	I
0.0	1075.49	9.7e-05
0.01	1075.49	9.7e-05
0.02	1075.5	9.7e-05
0.03	1075.5	9.7e-05
0.04	1075.5	9.7e-05
0.05	1075.53	9.7e-05
0.06	1075.53	9.7e-05
0.07	1075.5	9.7e-05
0.08	1075.53	9.7e-05
0.09	1075.52	9.7e-05
0.1	1075.52	9.7e-05
0.11	1075.51	9.7e-05
0.12	1075.53	9.7e-05
0.13	1075.53	9.7e-05
0.14	1075.51	9.7e-05
0.15	1075.52	9.7e-05
0.16	1075.5	9.7e-05
0.17	1075.51	9.7e-05
0.18	1075.52	9.7e-05
0.19	1075.52	9.7e-05
0.2	1075.53	9.7e-05
0.21	1075.52	9.7e-05
0.22	1075.51	9.7e-05
0.23	1075.52	9.7e-05
0.24	1075.53	9.7e-05
0.25	1075.54	9.7e-05
0.26	1075.52	9.7e-05
0.27	1075.54	9.7e-05
0.28	1075.53	9.7e-05
0.29	1075.53	9.7e-05
0.3	1075.53	9.7e-05
0.31	1075.52	9.7e-05
0.32	1075.54	9.7e-05
0.33	1075.53	9.7e-05
0.34	1075.52	9.7e-05
0.35	1075.53	9.7e-05
0.36	1075.53	9.7e-05
0.37	1075.53	9.7e-05
0.38	1075.53	9.7e-05
0.39	1075.52	9.7e-05
0.4	1075.52	9.7e-05
0.41	1075.53	9.7e-05
0.42	1075.54	9.7e-05
0.43	1075.52	9.7e-05
0.44	1075.51	9.7e-05
0.45	1075.53	9.7e-05
0.46	1075.53	9.7e-05
0.47	1075.54	9.7e-05
0.48	1075.5	9.7e-05
0.49	1075.5	9.7e-05
0.5	1075.53	9.7e-05
0.51	1075.51	9.7e-05
0.52	1075.49	9.7e-05
0.53	1075.5	9.7e-05
0.54	1075.48	9.7e-05
0.55	1075.51	9.7e-05
0.56	1075.51	9.7e-05
0.57	1075.53	9.7e-05
0.58	1075.51	9.7e-05
0.59	1075.51	9.7e-05
0.6	1075.53	9.7e-05
0.61	1075.55	9.7e-05
0.62	1075.51	9.7e-05
0.63	1075.53	9.7e-05
0.64	1075.52	9.7e-05
0.65	1075.53	9.7e-05
0.66	1075.52	9.7e-05
0.67	1075.53	9.7e-05
0.68	1075.5	9.7e-05
0.69	1075.49	9.7e-05
0.7	1075.51	9.7e-05
0.71	1075.52	9.7e-05
0.72	1075.54	9.7e-05
0.73	1075.54	9.7e-05
0.74	1075.54	9.7e-05
0.75	1075.55	9.7e-05
0.76	1075.54	9.7e-05
0.77	1075.54	9.7e-05
0.78	1075.55	9.7e-05
0.79	1075.53	9.7e-05
0.8	1075.55	9.7e-05
0.81	1075.54	9.7e-05
0.82	1075.54	9.7e-05
0.83	1075.53	9.7e-05
0.84	1075.54	9.7e-05
0.85	1075.53	9.7e-05
0.86	1075.55	9.7e-05
0.87	1075.53	9.7e-05
0.88	1075.57	9.7e-05
0.89	1075.54	9.7e-05
0.9	1075.56	9.7e-05
0.91	1075.54	9.7e-05
0.92	1075.57	9.7e-05
0.93	1075.55	9.7e-05
0.94	1075.55	9.7e-05
0.95	1075.55	9.7e-05
0.96	1075.56	9.7e-05
0.97	1075.58	9.7e-05
0.98	1075.56	9.7e-05
0.99	1075.58	9.7e-05
