time	R	I
0.0	989.357	9.7e-05
0.01	989.337	9.7e-05
0.02	989.363	9.7e-05
0.03	989.361	9.7e-05
0.04	989.364	9.7e-05
0.05	989.353	9.7e-05
0.06	989.361	9.7e-05
0.07	989.339	9.7e-05
0.08	989.355	9.7e-05
0.09	989.388	9.7e-05
0.1	989.36	9.7e-05
0.11	989.375	9.7e-05
0.12	989.376	9.7e-05
0.13	989.359	9.7e-05
0.14	989.353	9.7e-05
0.15	989.332	9.7e-05
0.16	989.359	9.7e-05
0.17	989.377	9.7e-05
0.18	989.378	9.7e-05
0.19	989.357	9.7e-05
0.2	989.369	9.7e-05
0.21	989.352	9.7e-05
0.22	989.353	9.7e-05
0.23	989.355	9.7e-05
0.24	989.367	9.7e-05
0.25	989.366	9.7e-05
0.26	989.347	9.7e-05
0.27	989.339	9.7e-05
0.28	989.353	9.7e-05
0.29	989.356	9.7e-05
0.3	989.379	9.7e-05
0.31	989.374	9.7e-05
0.32	989.382	9.7e-05
0.33	989.366	9.7e-05
0.34	989.379	9.7e-05
0.35	989.376	9.7e-05
0.36	989.371	9.7e-05
0.37	989.372	9.7e-05
0.38	989.38	9.7e-05
0.39	989.382	9.7e-05
0.4	989.383	9.7e-05
0.41	989.371	9.7e-05
0.42	989.37	9.7e-05
0.43	989.359	9.7e-05
0.44	989.362	9.7e-05
0.45	989.378	9.7e-05
0.46	989.358	9.7e-05
0.47	989.39	9.7e-05
0.48	989.372	9.7e-05
0.49	989.373	9.7e-05
0.5	989.4	9.7e-05
0.51	989.397	9.7e-05
0.52	989.385	9.7e-05
0.53	989.362	9.7e-05
0.54	989.389	9.7e-05
0.55	989.402	9.7e-05
0.56	989.397	9.7e-05
0.57	989.414	9.7e-05
0.58	989.423	9.7e-05
0.59	989.399	9.7e-05
0.6	989.407	9.7e-05
0.61	989.405	9.7e-05
0.62	989.409	9.7e-05
0.63	989.401	9.7e-05
0.64	989.391	9.7e-05
0.65	989.398	9.7e-05
0.66	989.417	9.7e-05
0.67	989.403	9.7e-05
0.68	989.404	9.7e-05
0.69	989.401	9.7e-05
0.7	989.406	9.7e-05
0.71	989.39	9.7e-05
0.72	989.415	9.7e-05
0.73	989.383	9.7e-05
0.74	989.381	9.7e-05
0.75	989.396	9.7e-05
0.76	989.397	9.7e-05
0.77	989.391	9.7e-05
0.78	989.398	9.7e-05
0.79	989.401	9.7e-05
0.8	989.387	9.7e-05
0.81	989.408	9.7e-05
0.82	989.404	9.7e-05
0.83	989.427	9.7e-05
0.84	989.429	9.7e-05
0.85	989.424	9.7e-05
0.86	989.405	9.7e-05
0.87	989.41	9.7e-05
0.88	989.407	9.7e-05
0.89	989.429	9.7e-05
0.9	989.409	9.7e-05
0.91	989.402	9.7e-05
0.92	989.412	9.7e-05
0.93	989.411	9.7e-05
0.94	989.402	9.7e-05
0.95	989.403	9.7e-05
0.96	989.412	9.7e-05
0.97	989.435	9.7e-05
0.98	989.427	9.7e-05
0.99	989.412	9.7e-05
