time	R	I
0.0	988.675	9.7e-05
0.01	988.658	9.7e-05
0.02	988.665	9.7e-05
0.03	988.667	9.7e-05
0.04	988.646	9.7e-05
0.05	988.65	9.7e-05
0.06	988.651	9.7e-05
0.07	988.658	9.7e-05
0.08	988.643	9.7e-05
0.09	988.637	9.7e-05
0.1	988.651	9.7e-05
0.11	988.63	9.7e-05
0.12	988.603	9.7e-05
0.13	988.618	9.7e-05
0.14	988.615	9.7e-05
0.15	988.626	9.7e-05
0.16	988.639	9.7e-05
0.17	988.618	9.7e-05
0.18	988.611	9.7e-05
0.19	988.602	9.7e-05
0.2	988.648	9.7e-05
0.21	988.613	9.7e-05
0.22	988.619	9.7e-05
0.23	988.649	9.7e-05
0.24	988.626	9.7e-05
0.25	988.607	9.7e-05
0.26	988.628	9.7e-05
0.27	988.628	9.7e-05
0.28	988.65	9.7e-05
0.29	988.65	9.7e-05
0.3	988.638	9.7e-05
0.31	988.617	9.7e-05
0.32	988.645	9.7e-05
0.33	988.627	9.7e-05
0.34	988.637	9.7e-05
0.35	988.651	9.7e-05
0.36	988.618	9.7e-05
0.37	988.648	9.7e-05
0.38	988.662	9.7e-05
0.39	988.644	9.7e-05
0.4	988.671	9.7e-05
0.41	988.664	9.7e-05
0.42	988.629	9.7e-05
0.43	988.646	9.7e-05
0.44	988.667	9.7e-05
0.45	988.656	9.7e-05
0.46	988.642	9.7e-05
0.47	988.642	9.7e-05
0.48	988.645	9.7e-05
0.49	988.644	9.7e-05
0.5	988.644	9.7e-05
0.51	988.661	9.7e-05
0.52	988.672	9.7e-05
0.53	988.644	9.7e-05
0.54	988.656	9.7e-05
0.55	988.639	9.7e-05
0.56	988.675	9.7e-05
0.57	988.666	9.7e-05
0.58	988.647	9.7e-05
0.59	988.661	9.7e-05
0.6	988.669	9.7e-05
0.61	988.647	9.7e-05
0.62	988.672	9.7e-05
0.63	988.651	9.7e-05
0.64	988.66	9.7e-05
0.65	988.666	9.7e-05
0.66	988.648	9.7e-05
0.67	988.67	9.7e-05
0.68	988.663	9.7e-05
0.69	988.673	9.7e-05
0.7	988.663	9.7e-05
0.71	988.645	9.7e-05
0.72	988.692	9.7e-05
0.73	988.681	9.7e-05
0.74	988.672	9.7e-05
0.75	988.676	9.7e-05
0.76	988.666	9.7e-05
0.77	988.663	9.7e-05
0.78	988.664	9.7e-05
0.79	988.642	9.7e-05
0.8	988.637	9.7e-05
0.81	988.652	9.7e-05
0.82	988.663	9.7e-05
0.83	988.671	9.7e-05
0.84	988.67	9.7e-05
0.85	988.636	9.7e-05
0.86	988.654	9.7e-05
0.87	988.648	9.7e-05
0.88	988.646	9.7e-05
0.89	988.664	9.7e-05
0.9	988.64	9.7e-05
0.91	988.64	9.7e-05
0.92	988.639	9.7e-05
0.93	988.646	9.7e-05
0.94	988.649	9.7e-05
0.95	988.654	9.7e-05
0.96	988.641	9.7e-05
0.97	988.668	9.7e-05
0.98	988.679	9.7e-05
0.99	988.651	9.7e-05
