time	R	I
0.0	1022.39	9.7e-05
0.01	1022.36	9.7e-05
0.02	1022.38	9.7e-05
0.03	1022.34	9.7e-05
0.04	1022.36	9.7e-05
0.05	1022.34	9.7e-05
0.06	1022.35	9.7e-05
0.07	1022.33	9.7e-05
0.08	1022.34	9.7e-05
0.09	1022.35	9.7e-05
0.1	1022.34	9.7e-05
0.11	1022.36	9.7e-05
0.12	1022.4	9.7e-05
0.13	1022.35	9.7e-05
0.14	1022.37	9.7e-05
0.15	1022.36	9.7e-05
0.16	1022.38	9.7e-05
0.17	1022.36	9.7e-05
0.18	1022.34	9.7e-05
0.19	1022.36	9.7e-05
0.2	1022.34	9.7e-05
0.21	1022.36	9.7e-05
0.22	1022.34	9.7e-05
0.23	1022.33	9.7e-05
0.24	1022.36	9.7e-05
0.25	1022.33	9.7e-05
0.26	1022.34	9.7e-05
0.27	1022.35	9.7e-05
0.28	1022.35	9.7e-05
0.29	1022.35	9.7e-05
0.3	1022.35	9.7e-05
0.31	1022.35	9.7e-05
0.32	1022.37	9.7e-05
0.33	1022.35	9.7e-05
0.34	1022.35	9.7e-05
0.35	1022.34	9.7e-05
0.36	1022.36	9.7e-05
0.37	1022.36	9.7e-05
0.38	1022.35	9.7e-05
0.39	1022.35	9.7e-05
0.4	1022.36	9.7e-05
0.41	1022.35	9.7e-05
0.42	1022.35	9.7e-05
0.43	1022.37	9.7e-05
0.44	1022.34	9.7e-05
0.45	1022.36	9.7e-05
0.46	1022.32	9.7e-05
0.47	1022.35	9.7e-05
0.48	1022.35	9.7e-05
0.49	1022.35	9.7e-05
0.5	1022.34	9.7e-05
0.51	1022.33	9.7e-05
0.52	1022.36	9.7e-05
0.53	1022.33	9.7e-05
0.54	1022.36	9.7e-05
0.55	1022.35	9.7e-05
0.56	1022.35	9.7e-05
0.57	1022.37	9.7e-05
0.58	1022.38	9.7e-05
0.59	1022.37	9.7e-05
0.6	1022.37	9.7e-05
0.61	1022.39	9.7e-05
0.62	1022.39	9.7e-05
0.63	1022.36	9.7e-05
0.64	1022.39	9.7e-05
0.65	1022.37	9.7e-05
0.66	1022.37	9.7e-05
0.67	1022.36	9.7e-05
0.68	1022.38	9.7e-05
0.69	1022.38	9.7e-05
0.7	1022.36	9.7e-05
0.71	1022.36	9.7e-05
0.72	1022.36	9.7e-05
0.73	1022.35	9.7e-05
0.74	1022.37	9.7e-05
0.75	1022.37	9.7e-05
0.76	1022.38	9.7e-05
0.77	1022.38	9.7e-05
0.78	1022.4	9.7e-05
0.79	1022.38	9.7e-05
0.8	1022.36	9.7e-05
0.81	1022.38	9.7e-05
0.82	1022.37	9.7e-05
0.83	1022.38	9.7e-05
0.84	1022.38	9.7e-05
0.85	1022.38	9.7e-05
0.86	1022.38	9.7e-05
0.87	1022.37	9.7e-05
0.88	1022.39	9.7e-05
0.89	1022.4	9.7e-05
0.9	1022.4	9.7e-05
0.91	1022.38	9.7e-05
0.92	1022.37	9.7e-05
0.93	1022.41	9.7e-05
0.94	1022.4	9.7e-05
0.95	1022.39	9.7e-05
0.96	1022.41	9.7e-05
0.97	1022.42	9.7e-05
0.98	1022.41	9.7e-05
0.99	1022.39	9.7e-05
